IJH: iShares Core S&P Mid-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	44706298
Shares Outstanding: 238600000
Expense Ratio: 0.07%
Tracks This Index: S&P MidCap 400 Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJH


Holding,Symbol,Weighting
KLX Inc,KLXI,0.2073%
EPR Properties,EPR,0.2071%
Ryder System Inc,R,0.2066%
Southwest Gas Holdings Inc,SWX,0.2048%
Avis Budget Group Inc,CAR,0.2023%
ViaSat Inc,VSAT,0.202%
Taubman Centers Inc,TCO,0.1998%
Dana Inc,DAN,0.1995%
American Eagle Outfitters Inc,AEO,0.1993%
Cabot Corp,CBT,0.199%
Healthcare Realty Trust Inc,HR,0.1987%
JBG SMITH Properties,JBGS,0.1978%
UMB Financial Corp,UMBF,0.1964%
Kemper Corp,KMPR,0.196%
LaSalle Hotel Properties,LHO,0.1955%
PolyOne Corp,POL,0.1951%
NewMarket Corp,NEU,0.1938%
Sabra Health Care REIT Inc,SBRA,0.1937%
Valley National Bancorp,VLY,0.1936%
Allegheny Technologies Inc,ATI,0.1926%
NCR Corp,NCR,0.1914%
Deluxe Corp,DLX,0.1899%
Weingarten Realty Investors,WRI,0.1892%
Energizer Holdings Inc,ENR,0.188%
Dycom Industries Inc,DY,0.1869%
Owens-Illinois Inc,OI,0.1862%
Valmont Industries Inc,VMI,0.1858%
Legg Mason Inc,LM,0.1858%
Urban Outfitters Inc,URBN,0.1853%
Acadia Healthcare Company Inc,ACHC,0.1847%
Matador Resources Co,MTDR,0.1837%
Regal Beloit Corp,RBC,0.1825%
Churchill Downs Inc,CHDN,0.1819%
Cathay General Bancorp,CATY,0.1817%
PotlatchDeltic Corp,PCH,0.181%
Timken Co,TKR,0.1809%
PNM Resources Inc,PNM,0.1804%
Black Hills Corp,BKH,0.1791%
Scotts Miracle-Gro Co,SMG,0.1787%
Uniti Group Inc,UNIT,0.1781%
Kennametal Inc,KMT,0.1773%
CNX Resources Corp,CNX,0.1769%
SYNNEX Corp,SNX,0.1758%
Sprouts Farmers Market Inc,SFM,0.1755%
Fulton Financial Corp,FULT,0.1748%
Geo Group Inc,GEO,0.1746%
Deckers Outdoor Corp,DECK,0.1726%
Wendys Co,WEN,0.1723%
Cable ONE Inc,CABO,0.1721%
MSA Safety Inc,MSA,0.1716%
Oasis Petroleum Inc,OAS,0.1713%
New York Times Co,NYT,0.1711%
EnerSys,ENS,0.1707%
QEP Resources Inc,QEP,0.1696%
John Wiley & Sons Inc,JW.A,0.1679%
Manhattan Associates Inc,MANH,0.1677%
Hain Celestial Group Inc,HAIN,0.167%
Sensient Technologies Corp,SXT,0.166%
Domtar Corp,UFS,0.166%
Adtalem Global Education Inc,ATGE,0.166%
Scientific Games Corp,SGMS,0.1656%
Commvault Systems Inc,CVLT,0.1637%
AutoNation Inc,AN,0.1635%
Callon Petroleum Co,CPE,0.1625%
BancorpSouth Bank,BXS,0.1623%
CNO Financial Group Inc,CNO,0.1622%
Boyd Gaming Corp,BYD,0.162%
Graham Holdings Co,GHC,0.1609%
Corporate Office Properties Trust,OFC,0.1602%
Terex Corp,TEX,0.1589%
Healthcare Services Group Inc,HCSG,0.1584%
Washington Federal Inc,WAFD,0.1582%
NorthWestern Corp,NWE,0.1579%
Dick's Sporting Goods Inc,DKS,0.1562%
Tech Data Corp,TECD,0.1559%
ACI Worldwide Inc,ACIW,0.1549%
Chesapeake Energy Corp,CHK,0.1545%
InterDigital Inc,IDCC,0.153%
Jack in the Box Inc,JACK,0.1526%
Belden Inc,BDC,0.151%
AMC Networks Inc,AMCX,0.1502%
TRI Pointe Group Inc,TPH,0.149%
Education Realty Trust Inc,EDR,0.148%
Tenet Healthcare Corp,THC,0.1473%
Telephone and Data Systems Inc,TDS,0.1466%
Ensco PLC,ESV,0.1465%
Clean Harbors Inc,CLH,0.1465%
Verifone Systems Inc,PAY,0.146%
Aaron's Inc,AAN,0.1459%
GATX Corp,GATX,0.1455%
Carpenter Technology Corp,CRS,0.1447%
Bed Bath & Beyond Inc,BBBY,0.1444%
Aspen Insurance Holdings Ltd,AHL,0.1434%
NuVasive Inc,NUVA,0.1429%
SM Energy Co,SM,0.1424%
Helen of Troy Ltd,HELE,0.1417%
Halyard Health Inc,HYH,0.1412%
Minerals Technologies Inc,MTX,0.141%
Commercial Metals Co,CMC,0.141%
CoreCivic Inc,CXW,0.1408%
Cirrus Logic Inc,CRUS,0.1408%
Lancaster Colony Corp,LANC,0.1407%
Vishay Intertechnology Inc,VSH,0.1389%
Federated Investors Inc,FII,0.1388%
Nabors Industries Ltd,NBR,0.1382%
KBR Inc,KBR,0.137%
Compass Minerals International Inc,CMP,0.1363%
Netscout Systems Inc,NTCT,0.1359%
Cash Component,CASH,0.1335%
Sanderson Farms Inc,SAFM,0.133%
Signet Jewelers Ltd,SIG,0.1329%
KB Home,KBH,0.1323%
Tupperware Brands Corp,TUP,0.1317%
Edgewell Personal Care Co,EPC,0.1313%
United Natural Foods Inc,UNFI,0.1311%
Tegna Inc,TGNA,0.1309%
Syneos Health Inc,SYNH,0.1306%
Cheesecake Factory Inc,CAKE,0.1296%
Granite Construction Inc,GVA,0.1264%
International Bancshares Corp,IBOC,0.1263%
Urban Edge Properties,UE,0.1261%
Plantronics Inc,PLT,0.1254%
Convergys Corp,CVG,0.1254%
Southwestern Energy Co,SWN,0.1251%
Brinker International Inc,EAT,0.1249%
Trustmark Corp,TRMK,0.1242%
Sally Beauty Holdings Inc,SBH,0.1237%
Allscripts Healthcare Solutions Inc,MDRX,0.123%
Oceaneering International Inc,OII,0.1211%
TreeHouse Foods Inc,THS,0.1208%
Meredith Corp,MDP,0.1202%
Michaels Companies Inc,MIK,0.1202%
Acxiom Corp,ACXM,0.1192%
Murphy Usa Inc,MUSA,0.1192%
Silgan Holdings Inc,SLGN,0.1192%
Tempur Sealy International Inc,TPX,0.119%
Quality Care Properties Inc,QCP,0.1183%
LendingTree Inc,TREE,0.1181%
Cars.com Inc,CARS,0.1171%
Boston Beer Company Inc,SAM,0.1167%
LifePoint Health Inc,LPNT,0.115%
Sotheby's,BID,0.1134%
Worthington Industries Inc,WOR,0.1124%
Tanger Factory Outlet Centers Inc,SKT,0.1119%
Patterson Companies Inc,PDCO,0.111%
Herman Miller Inc,MLHR,0.1103%
