EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	40817578
Shares Outstanding: 870750000
Expense Ratio: 0.69%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EEM


Holding,Symbol,Weighting
Grasim Industries Ltd,GRASIM,0.1%
Weibo Corp,WB,0.0998%
Ecopetrol SA,ECOPETROL,0.0995%
BB Seguridade Participacoes SA,BBSE3,0.099%
Sociedad Quimica y Minera de Chile SA,SQM-B,0.0989%
Commercial International Bank Egypt SAE,COMI,0.0987%
China Taiping Insurance Holdings Co Ltd,966,0.0986%
Kroton Educacional SA,KROT3,0.098%
Mr Price Group Ltd,MRP,0.0979%
Asian Paints Ltd,APNT,0.0975%
UltraTech Cement Ltd,UTCEM,0.0971%
CITIC Securities Co Ltd,6030,0.097%
E-Mart Inc,139480,0.0966%
Nedbank Group Ltd,NED,0.0965%
Suzano Papel e Celulose SA,SUZB3,0.0963%
Bank Polska Kasa Opieki SA,PEO,0.0959%
Formosa Petrochemical Corp,6505,0.0955%
PETRONAS Chemicals Group Bhd,PCHEM,0.0953%
China Minsheng Banking Corp Ltd,1988,0.0952%
Gazprom PAO,OGZD,0.0949%
Empresas CMPC SA,CMPC,0.0942%
Turkiye Garanti Bankasi AS,GARAN,0.0939%
President Chain Store Corp,2912,0.0937%
Mobil'nye Telesistemy PAO,MBT,0.0937%
Autohome Inc,ATHM,0.0933%
China Development Financial Holding Corp,2883,0.0932%
LG Display Co Ltd,034220,0.0931%
Tiger Brands Ltd,TBS,0.093%
Genting Bhd,GENTING,0.0929%
Woolworths Holdings Ltd,WHL,0.0923%
Unilever Indonesia Tbk PT,UNVR,0.0922%
China Communications Construction Co Ltd,1800,0.0921%
Fibra Uno Administracion SA de CV,FUNO11,0.0909%
BDO Unibank Inc,BDO,0.0908%
Bajaj Finance Ltd,BAJFINANCE,0.0905%
Yuanta Financial Holdings Co Ltd,2885,0.0903%
First Abu Dhabi Bank PJSC,FAB,0.0897%
Discovery Ltd,DSY,0.0896%
Redefine Properties Ltd,RDF,0.0889%
Zee Entertainment Enterprises Ltd,Z,0.0888%
Asustek Computer Inc,2357,0.0888%
ENN Energy Holdings Ltd,2688,0.0888%
Kakao Corp,035720,0.0885%
China Conch Venture Holdings Ltd,586,0.0877%
China Vanke Co Ltd,2202,0.0875%
SM Investments Corp,SM,0.0873%
Wipro Ltd,WPRO,0.0871%
Gerdau SA,GGBR4,0.0867%
Yageo Corp,2327,0.0861%
Taiwan Cooperative Financial Holding Co Ltd,5880,0.0861%
Hua Nan Financial Holdings Co Ltd,2880,0.0859%
Tech Mahindra Ltd,TECHM,0.0856%
Hyundai Engineering & Construction Co Ltd,000720,0.085%
SINOPHARM GROUP CO LTD,1099,0.0849%
S-Oil Corp,010950,0.0846%
Brilliance China Automotive Holdings Ltd,1114,0.0845%
Taiwan Cement Corp,1101,0.0845%
Industries Qatar QSC,IQCD,0.0845%
Coway Co Ltd,021240,0.0843%
NK Rosneft' PAO,RNFTF,0.0839%
LATAM Airlines Group SA,LTM,0.0839%
Siam Cement PCL,SCC-F,0.0835%
Fibria Celulose SA,FIBR3,0.0835%
Titan Company Ltd,TTAN,0.0831%
Taishin Financial Holding Co Ltd,2887,0.0831%
Rumo SA,RAIL3,0.0829%
Ayala Corp,AC,0.0823%
Akbank TAS,AKBNK,0.0816%
Rmb Holdings Ltd,RMH,0.0814%
Hyundai Steel Co,004020,0.0812%
Southern Copper Corp,SCCO,0.0812%
Adani Ports and Special Economic Zone Ltd,ADSEZ,0.081%
Haitong Securities Co Ltd,6837,0.0806%
Bharat Petroleum Corporation Ltd,BPCL,0.0802%
Want Want China Holdings Ltd,151,0.0797%
SillaJen Inc,215600,0.0795%
Raia Drogasil SA,RADL3,0.0793%
Bank Negara Indonesia (Persero) Tbk PT,BBNI,0.0792%
Pegatron Corp,4938,0.0791%
Banco Santander Brasil SA,SANB11,0.0788%
YY Inc,YY,0.0785%
Cencosud SA,CENCOSUD,0.0784%
SK Telecom Co Ltd,017670,0.0783%
NTPC Ltd,NTPC,0.078%
Longfor Properties Co Ltd,960,0.0777%
Banco de Chile,CHILE,0.077%
CEZ as,CEZ,0.0761%
MOL Plc,MOL,0.0757%
JSW Steel Ltd,JSWSTEEL,0.0753%
Hyundai Heavy Industries Co Ltd,009540,0.0749%
Godrej Consumer Products Ltd,GCPL,0.0748%
DiGi.Com Bhd,DIGI,0.0747%
CCR SA,CCRO3,0.0744%
Far EasTone Telecommunications Co Ltd,4904,0.0743%
Guangdong Investment Ltd,270,0.0739%
Hindalco Industries Ltd,HNDL,0.0738%
Abu Dhabi Commercial Bank PJSC,ADCB,0.0738%
DP World Ltd,DPW,0.0737%
Embraer SA,EMBR3,0.0735%
United Tractors Tbk PT,UNTR,0.0735%
Industrial Bank of Korea,024110,0.0725%
UPL Ltd,UPLL,0.0724%
NEPI Rockcastle PLC,NRP,0.0723%
Hyundai Motor Co,005387,0.0715%
Lojas Americanas SA,LAME4,0.0714%
Genting Malaysia Bhd,GENM,0.0711%
Momo Inc,MOMO,0.0705%
Hyundai Heavy Industries Holdings Co Ltd,267250,0.0701%
Amorepacific Group,002790,0.0699%
Foschini Group Ltd,TFG,0.0698%
Sinopac Financial Holdings Co Ltd,2890,0.0698%
AngloGold Ashanti Ltd,ANG,0.0698%
Grupo Financiero Inbursa SAB de CV,GFINBURO,0.0695%
KGHM Polska Miedz SA,KGH,0.0692%
Chailease Holding Co Ltd,5871,0.0691%
Guangzhou Automobile Group Co Ltd,2238,0.0687%
Bajaj Auto Ltd,BJAUT,0.0687%
Localiza Rent a Car SA,RENT3,0.0684%
Alfa SAB de CV,ALFAA,0.0683%
Tim Participacoes SA,TIMP3,0.0682%
New China Life Insurance Co Ltd,1336,0.0678%
GlobalWafers Co Ltd,6488,0.0676%
Grupo Aeroportuario del Sureste SAB de CV,ASURB,0.0675%
Grupo Aeroportuario del Pacifico SAB de CV,GAPB,0.0675%
WEG SA,WEGE3,0.0673%
Dr.Reddy's Laboratories Ltd,DRRD,0.0673%
IHH Healthcare Bhd,IHH,0.0672%
Kasikornbank PCL,KBANK-R,0.0671%
China National Building Material Co Ltd,CBUMF,0.067%
Eregli Demir ve Celik Fabrikalari TAS,EREGL,0.0669%
Enel Chile SA,ENELCHILE,0.0669%
Masraf Al Rayan QPSC,MARK,0.0668%
CRRC Corp Ltd,1766,0.0664%
Truworths International Ltd,TRU,0.0664%
Grupo Bimbo SAB de CV,BIMBOA,0.0664%
Semiconductor Manufacturing International Corp,981,0.0663%
Equatorial Energia SA,EQTL3,0.0663%
Bank Zachodni WBK SA,BZW,0.0658%
Sappi Ltd,SAP,0.0657%
Axiata Group Bhd,AXIATA,0.0655%
AK Alrosa PAO,ALRS,0.0654%
Grupo de Inversiones Suramericana SA,GRUPOSURA,0.0654%
Byd Co Ltd,1211,0.0652%
BIM Birlesik Magazalar AS,BIMAS,0.0652%
Turkcell Iletisim Hizmetleri AS,TCELL,0.0651%
Hellenic Telecommunications Organization SA,HTO,0.0649%
AU Optronics Corp,2409,0.0649%
Alpha Bank SA,ALBKF,0.0646%
Haier Electronics Group Co Ltd,1169,0.0642%
Hankook Tire Co Ltd,161390,0.064%
Netmarble Corp,251270,0.0639%
Shriram Transport Finance Company Ltd,SHTF,0.0638%
Lenovo Group Ltd,992,0.0636%
Surgutneftegaz OAO,SNGSP,0.0631%
Central Pattana PCL,CPN-R,0.0631%
Oil and Natural Gas Corporation Ltd,ONGC,0.0631%
LPP SA,LPP,0.0629%
Companhia Brasileira de Distribuicao,PCAR4,0.0625%
Klabin SA,KLBN11,0.062%
Shin Kong Financial Holding Co Ltd,2888,0.0619%
Sime Darby Plantation Bhd,SIMEPLT,0.0615%
JG Summit Holdings Inc,JGS,0.0611%
Motherson Sumi Systems Ltd,MSS,0.0609%
Komercni Banka as,KOMB,0.0607%
GAIL (India) Ltd,GAIL,0.0606%
Mirae Asset Daewoo Co Ltd,006800,0.0606%
China Huarong Asset Management Co Ltd,2799,0.0605%
Korea Zinc Inc,010130,0.0605%
Bank VTB PAO,VTBR,0.0604%
Korea Investment Holdings Co Ltd,071050,0.0603%
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,SBSP3,0.0599%
Severstal' PAO,CHMF,0.0599%
Innolux Corp,3481,0.0598%
Great Wall Motor Co Ltd,2333,0.0596%
Gold Fields Ltd,GFI,0.0594%
Huatai Securities Co Ltd,6886,0.0594%
Cipla Ltd,CIPLA,0.0593%
People's Insurance Group of China Co Ltd,1339,0.0592%
Petronas Gas Bhd,PETGAS,0.0592%
Shimao Property Holdings Ltd,813,0.059%
Kangwon Land Inc,035250,0.0589%
Nestle India Ltd,NEST,0.0589%
Piramal Enterprises Ltd,PIEL,0.0589%
SPAR Group Ltd,SPP,0.0589%
Thai Oil PCL,TOP-R,0.0586%
Fullshare Holdings Ltd,607,0.0584%
Nanya Technology Corp,2408,0.0584%
China Medical System Holdings Ltd,867,0.0583%
China Railway Group Ltd,390,0.058%
China Everbright International Ltd,257,0.058%
United Spirits Ltd,UNSP,0.0578%
China Cinda Asset Management Co Ltd,1359,0.0575%
Mexichem SAB de CV,MEXCHEM*,0.0573%
Agile Group Holdings Ltd,3383,0.0573%
Bajaj Finserv Ltd,BJFIN,0.0572%
Turkiye Petrol Rafinerileri AS,TUPRS,0.0571%
Mondi Ltd,MND,0.0569%
Life Healthcare Group Holdings Ltd,LHC,0.0562%
China Life Insurance Co Ltd,2823,0.056%
Coca-Cola Femsa SAB de CV,KOFL,0.056%
BRF SA,BRFS3,0.0558%
Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,0.0556%
China Longyuan Power Group Corp Ltd,916,0.0555%
Dabur India Ltd,DABUR,0.055%
Indorama Ventures PCL,IVL-R,0.055%
Beijing Enterprises Water Group Ltd,371,0.0549%
China Resources Power Holdings Co Ltd,836,0.0547%
Far Eastern New Century Corp,1402,0.0546%
China Jinmao Holdings Group Ltd,817,0.0545%
Hong Leong Bank Bhd,HLBANK,0.0545%
Compania de Minas Buenaventura SAA,BVN,0.0545%
Chang Hwa Commercial Bank Ltd,2801,0.0544%
Imperial Holdings Ltd,IPL,0.054%
Tingyi Cayman Islands Holding Corp,322,0.0539%
Hiwin Technologies Corp,2049,0.0538%
Hypera SA,HYPE3,0.0538%
GS Holdings Corp,078930,0.0537%
Novolipetsk Steel PAO,NLMK,0.0536%
Tata Steel Ltd,TATA,0.0535%
Hyundai Glovis Co Ltd,086280,0.0535%
Shinsegae Inc,004170,0.0532%
Coal India Ltd,COAL,0.0531%
Hanwha Chemical Corp,009830,0.053%
CGN Power Co Ltd,1816,0.053%
DB Insurance Co Ltd,005830,0.0529%
Banco de Credito e Inversiones,BCI,0.0529%
Cheng Shin Rubber Ind. Co Ltd,2105,0.0527%
Zhuzhou CRRC Times Electric Co Ltd,3898,0.0526%
Richter Gedeon Vegyeszeti Gyar Nyrt,RICHTER,0.0525%
Ashok Leyland Ltd,AL,0.0523%
Kuala Lumpur Kepong Bhd,KLK,0.0521%
Moskovskaya Birzha MMVB-RTS PAO,MOEX,0.0521%
Dongfeng Motor Group Co Ltd,489,0.0521%
IOI Corporation Bhd,IOICORP,0.052%
Capitec Bank Holdings Ltd,CPI,0.0519%
Indian Oil Corpn Ltd,IOCL,0.0518%
Celltrion HealthCare Co Ltd,091990,0.0517%
Bangkok Dusit Medical Services PCL,BDMS-R,0.051%
Huaneng Power International Inc,902,0.0509%
Aboitiz Equity Ventures Inc,AEV,0.0509%
Minor International PCL,MINT-R,0.0507%
Industrias Penoles SAB de CV,PE&OLES*,0.0506%
MediaTek Inc,MDTKF,0.0506%
Arca Continental SAB de CV,AC*,0.0505%
Hindustan Petroleum Corp Ltd,HPCL,0.0504%
Maxis Bhd,MAXIS,0.0501%
Hero MotoCorp Ltd,HEROMOTOCO,0.05%
Macronix International Co Ltd,2337,0.0499%
Compal Electronics Inc,2324,0.0499%
Bancolombia SA,BCOLOMBIA,0.0497%
Kimberly-Clark de Mexico SAB de CV,KIMBERA,0.0495%
Hyosung Corp,004800,0.0494%
Greek Organisation of Football Prognostics SA,OPAP,0.0494%
Samsung Heavy Industries Co Ltd,010140,0.0494%
Kunlun Energy Company Ltd,135,0.0493%
Lotte Shopping Co Ltd,023530,0.0491%
Lite-On Technology Corp,2301,0.0491%
Sun Art Retail Group Ltd,6808,0.0491%
Lupin Ltd,LPC,0.0491%
Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,BSMXB,0.049%
Hanmi Pharm Co Ltd,128940,0.0485%
Hyundai Development Co Engineering & Construction,012630,0.0481%
Korea Aerospace Industries Ltd,047810,0.048%
Jollibee Foods Corp,JFC,0.048%
Pou Chen Corp,9904,0.0479%
Medy Tox Inc,086900,0.0478%
Gruma SAB de CV,GRUMAB,0.0475%
BNK Financial Group Inc,138930,0.0474%
Dialog Group Bhd,DIALOG,0.0472%
Orion Corp,271560,0.0471%
Zijin Mining Group Co Ltd,2899,0.047%
Hotai Motor Co Ltd,2207,0.0466%
Aurobindo Pharma Ltd,ARBP,0.0465%
Surgutneftegaz OAO,SNGS,0.0464%
Koc Holding AS,KCHOL,0.0462%
Asia Cement Corp,1102,0.0459%
CJ CheilJedang Corp,097950,0.0455%
BR Malls Participacoes SA,BRML3,0.0455%
True Corporation PCL,TRUE-R,0.0452%
PSG Group Ltd,PSG,0.0452%
PGE Polska Grupa Energetyczna SA,PGE,0.0451%
OCI Co Ltd,010060,0.045%
CIFI Holdings Group Co Ltd,884,0.0449%
LIC Housing Finance Ltd,LICHF,0.0446%
Bharat Forge Ltd,BHFC,0.0446%
ZTE Corp,763,0.0445%
Netcare Ltd,NTC,0.0445%
Universal Robina Corp,URC,0.0444%
PLDT Inc,TEL,0.0443%
PPB Group Bhd,PPB,0.0437%
CD Projekt SA,CDR,0.0431%
Kalbe Farma Tbk PT,KLBF,0.0431%
GF Securities Co Ltd,1776,0.043%
China Molybdenum Co Ltd,3993,0.0429%
Turkiye Is Bankasi AS,ISCTR,0.0429%
Eurobank Ergasias SA,EUROB,0.0429%
Kingsoft Corp Ltd,3888,0.0428%
Gudang Garam Tbk PT,GGRM,0.0428%
Nine Dragons Paper Holdings Ltd,2689,0.0427%
Promotora y Operadora de Infraestructura SAB de CV,PINFRA*,0.0426%
Charoen Pokphand Foods PCL,CPF-R,0.0426%
China Resources Pharmaceutical Group Ltd,3320,0.0425%
Hanjaya Mandala Sampoerna Tbk PT,HMSP,0.0425%
Samsung Securities Co Ltd,016360,0.0424%
China Railway Construction Corp Ltd,1186,0.0424%
China Merchants Port Holdings Co Ltd,144,0.0423%
IRPC PCL,IRPC-R,0.0423%
Pick N Pay Stores Ltd,PIK,0.0422%
Gamuda Bhd,GAMUDA,0.0419%
Turk Hava Yollari AO,THYAO,0.0418%
Berli Jucker PCL,BJC-R,0.0415%
Shanghai Pharmaceuticals Holding Co Ltd,2607,0.0414%
United Microelectronics Corp,UMELF,0.0413%
Ambuja Cements Ltd,ACEM,0.0413%
Guangzhou R&F Properties Co Ltd,2777,0.0412%
