VEU: Vanguard FTSE All-World ex-US ETF
Inception Date: 2007-03-08
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	23584679
Shares Outstanding: 433701000
Expense Ratio: 0.11%
Tracks This Index: FTSE All-World ex US Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VEU


Holding,Symbol,Weighting
Compagnie Generale des Etablissements Michelin SCA,ML,0.1209%
PTT PCL,PTT,0.1208%
Continental AG,CON,0.1205%
Kirin Holdings Co Ltd,2503,0.1201%
Fresenius Medical Care AG & Co KGaA,FME,0.12%
Lafargeholcim Ltd,LHN,0.1197%
BAE Systems PLC,BA.,0.1182%
Deutsche Bank AG,DBK,0.118%
Amadeus IT Group SA,AMS,0.1174%
Swiss Re AG,SREN,0.1174%
Shiseido Co Ltd,4911,0.1173%
East Japan Railway Co,9020,0.1169%
JD.com Inc,JD,0.1168%
Public Bank Bhd,PBBANK,0.1157%
Recruit Holdings Co Ltd,6098,0.1155%
KB Financial Group Inc,KB,0.1155%
Deutsche Boerse AG,DB1,0.1136%
Vonovia SE,VNA,0.1136%
Standard Bank Group Ltd,SBK,0.1133%
Kyocera Corp,6971,0.1126%
Woodside Petroleum Ltd,WPL,0.1122%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.1109%
Galaxy Entertainment Group Ltd,27,0.1106%
Orix Corp,8591,0.1103%
Repsol SA,REP,0.1094%
Sumitomo Corp,8053,0.1093%
Fiat Chrysler Automobiles NV,FCA,0.1091%
Dai-ichi Life Holdings Inc,8750,0.109%
Canadian Pacific Railway Ltd,CP,0.1083%
Banco Bradesco SA,BBDC3,0.1081%
Mitsui Fudosan Co Ltd,8801,0.1078%
Tata Consultancy Services Ltd,TCS,0.1076%
Daiichi Sankyo Co Ltd,4568,0.1065%
Henkel AG & Co KgaA,HEN3,0.1063%
Assicurazioni Generali SpA,G,0.1059%
Transurban Group,TCL,0.1057%
Anglo American PLC,AAL,0.1051%
China Life Insurance Co Ltd,2628,0.1043%
Unibail Rodamco SE,UL,0.1037%
Subaru Corp,7270,0.1035%
Sasol Ltd,SOL,0.1035%
The Swatch Group AG,UHR,0.1032%
Akbank TAS,AKBNK,0.1029%
Malayan Banking Bhd,MAYBANK,0.1028%
Nitori Holdings Co Ltd,9843,0.1027%
Daito Trust Construction Co Ltd,1878,0.1027%
JXTG Holdings Inc,5020,0.1014%
MTN Group Ltd,MTN,0.1011%
Engie SA,ENGI,0.1003%
Sun Life Financial Inc,SLF,0.1001%
Magna International Inc,MG,0.0999%
Mitsubishi Estate Co Ltd,8802,0.0998%
E.ON SE,EOAN,0.0997%
Sampo Oyj,SAMPO,0.0996%
Relx PLC,REL,0.0993%
FirstRand Ltd,FSR,0.0991%
ArcelorMittal SA,MT,0.0988%
Akzo Nobel NV,AKZA,0.0987%
CK Asset Holdings Ltd,1113,0.0987%
KBC Groep NV,KBC,0.0986%
Danske Bank A/S,DANSKE,0.0984%
Suzuki Motor Corp,7269,0.0982%
Sun Hung Kai Properties Ltd,16,0.098%
Legal & General Group PLC,LGEN,0.098%
Hoya Corp,7741,0.0978%
Meiji Holdings Co Ltd,2269,0.0977%
Volvo AB,VOLV.B,0.0975%
Atlantia SpA,ATL,0.0974%
Aeon Co Ltd,8267,0.0964%
Naver Corp,035420,0.0962%
Deutsche Wohnen SE,DWNI,0.096%
Denso Corp,6902,0.0956%
Swedbank AB,SWED.A,0.0956%
Bank Central Asia Tbk PT,BBCA,0.0955%
Givaudan SA,GIVN,0.0954%
WPP PLC,WPP,0.0948%
Shionogi & Co Ltd,4507,0.0946%
Hang Seng Bank Ltd,11,0.0945%
Turkiye Garanti Bankasi AS,GARAN,0.0942%
Experian PLC,EXPN,0.0937%
Nippon Steel & Sumitomo Metal Corp,5401,0.0936%
Asahi Group Holdings Ltd,2502,0.0934%
Macquarie Group Ltd,MQG,0.0932%
Nomura Holdings Inc,8604,0.0927%
DNB ASA,DNB,0.0926%
Statoil ASA,STL,0.0926%
National Bank of Canada,NA,0.0925%
