IWB: iShares Russell 1000 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	19214742
Shares Outstanding: 131050000
Expense Ratio: 0.15%
Tracks This Index: Russell 1000 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWB


Holding,Symbol,Weighting
CoStar Group Inc,CSGP,0.0502%
McCormick & Company Inc,MKC,0.0499%
Xylem Inc,XYL,0.0498%
Broadridge Financial Solutions Inc,BR,0.0498%
J M Smucker Co,SJM,0.0497%
Arthur J Gallagher & Co,AJG,0.0496%
Abiomed Inc,ABMD,0.0495%
Diamondback Energy Inc,FANG,0.0492%
EQT Corp,EQT,0.0489%
Hershey Co,HSY,0.0489%
Cheniere Energy Inc,LNG,0.0489%
Henry Schein Inc,HSIC,0.0481%
Cboe Global Markets Inc,CBOE,0.0481%
Masco Corp,MAS,0.0479%
GGP Inc,GGP,0.0478%
Teleflex Inc,TFX,0.0478%
Annaly Capital Management Inc,NLY,0.0477%
Vornado Realty Trust,VNO,0.0473%
Take-Two Interactive Software Inc,TTWO,0.0472%
Square Inc,SQ,0.0471%
Akamai Technologies Inc,AKAM,0.0469%
TransUnion,TRU,0.0466%
Church & Dwight Co Inc,CHD,0.0463%
Ally Financial Inc,ALLY,0.0462%
Raymond James Financial Inc,RJF,0.0459%
PVH Corp,PVH,0.0457%
Dentsply Sirona Inc,XRAY,0.0455%
Invesco Ltd,IVZ,0.0453%
Darden Restaurants Inc,DRI,0.0452%
C.H. Robinson Worldwide Inc,CHRW,0.0452%
Carmax Inc,KMX,0.0451%
HollyFrontier Corp,HFC,0.0449%
Cadence Design Systems Inc,CDNS,0.0447%
Expeditors International of Washington Inc,EXPD,0.0447%
XPO Logistics Inc,XPO,0.0447%
CDW Corp,CDW,0.0446%
Tiffany & Co,TIF,0.0444%
CenterPoint Energy Inc,CNP,0.0441%
International Flavors & Fragrances Inc,IFF,0.044%
Extra Space Storage Inc,EXR,0.044%
Cabot Oil & Gas Corp,COG,0.0438%
HCP Inc,HCP,0.0438%
Kansas City Southern,KSU,0.0436%
Domino's Pizza Inc,DPZ,0.0433%
Cooper Companies Inc,COO,0.0433%
Hologic Inc,HOLX,0.0433%
Nielsen Holdings PLC,NLSN,0.0433%
Kohls Corp,KSS,0.043%
Wyndham Worldwide Corp,WYN,0.0429%
Zions Bancorp,ZION,0.0429%
Varian Medical Systems Inc,VAR,0.0428%
Gartner Inc,IT,0.0428%
Packaging Corp of America,PKG,0.0428%
Cincinnati Financial Corp,CINF,0.0428%
FMC Corp,FMC,0.0427%
Albemarle Corp,ALB,0.0427%
Franklin Resources Inc,BEN,0.0426%
Incyte Corp,INCY,0.0425%
