VGT: Vanguard Information Technology ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18605852
Shares Outstanding: 107511000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Information Technology 25/50 Index
ETFdb.com Category: Technology Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGT


Holding,Symbol,Weighting
Yext Inc,YEXT,0.0064%
Hackett Group Inc,HCKT,0.0061%
Smart Global Holdings Inc,SGH,0.0055%
Daktronics Inc,DAKT,0.0053%
Park Electrochemical Corp,PKE,0.0052%
PC Connection Inc,CNXN,0.005%
PDF Solutions Inc,PDFS,0.0049%
Alpha and Omega Semiconductor Ltd,AOSL,0.0048%
CommerceHub Inc,CHUBA,0.0047%
Harmonic Inc,HLIT,0.0046%
Calix Inc,CALX,0.0046%
A10 Networks Inc,ATEN,0.0046%
Ribbon Communications Inc,RBBN,0.0045%
Upland Software Inc,UPLD,0.0045%
MoneyGram International Inc,MGI,0.004%
Impinj Inc,PI,0.0032%
Quantenna Communications Inc,QTNA,0.003%
NeoPhotonics Corp,NPTN,0.003%
MobileIron Inc,MOBL,0.003%
Cash Component,CASH,0.0029%
Meet Group Inc,MEET,0.0022%
Veritone Inc,VERI,0.0019%
Eastman Kodak Co,KODK,0.0018%
Internap Corp,INAP,0.0016%
Rubicon Project Inc,RUBI,0.0016%
DHI Group Inc,DHX,0.001%
