IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	58547655
Shares Outstanding: 880000000
Expense Ratio: 0.08%
Tracks This Index: MSCI EAFE Investable Market Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Chocoladefabriken Lindt & Spruengli AG,LISP,0.0475%
Melco Resorts & Entertainment Ltd,MLCO,0.0473%
British Land Company PLC,BLND,0.0472%
Groep Brussel Lambert NV,GBLB,0.0472%
Swedish Match AB,SWMA,0.0472%
Cochlear Ltd,COH,0.0472%
Klepierre SA,LI,0.0471%
Temenos Group AG,TEMN,0.0471%
Yamaha Motor Co Ltd,7272,0.047%
Prosiebensat 1 Media SE,PSM,0.047%
Bank of Ireland Group PLC,BIRG,0.0469%
Informa PLC,INF,0.0468%
Norsk Hydro ASA,NHY,0.0468%
Coca-Cola European Partners PLC,CCE,0.0467%
Smiths Group PLC,SMIN,0.0466%
Ryohin Keikaku Co Ltd,RYKKF,0.0464%
Hannover Rueck SE,HNR1,0.0463%
Fujitsu Ltd,6702,0.0461%
FamilyMart UNY Holdings Co Ltd,8028,0.0461%
Gecina SA,GFC,0.046%
Keppel Corporation Ltd,BN4,0.0459%
St. James's Place PLC,STJ,0.0458%
Isuzu Motors Ltd,7202,0.0458%
Exor NV,EXO,0.0458%
Jardine Matheson Holdings Ltd,J36,0.0457%
Edenred SA,EDEN,0.0457%
SEGRO PLC,SGRO,0.0456%
Toyota Industries Corp,6201,0.0452%
Daiwa Securities Group Inc,8601,0.0452%
Electricite de France SA,EDF,0.0451%
AB SKF,SKF.B,0.045%
Croda International PLC,CRDA,0.0449%
Ubisoft Entertainment SA,UBI,0.0449%
AerCap Holdings NV,AER,0.0449%
Rentokil Initial PLC,RTO,0.0448%
Kuehne und Nagel International AG,KNIN,0.0448%
Natixis SA,KN,0.0448%
Moncler SpA,MONC,0.0444%
Techtronic Industries Co Ltd,669,0.0443%
James Hardie Industries PLC,JHX,0.0441%
New World Development Co Ltd,17,0.0441%
Mediobanca Banca di Credito Finanziario SpA,MB,0.0441%
Vifor Pharma AG,VIFN,0.044%
Schindler Holding AG,SCHP,0.0439%
DS Smith PLC,SMDS,0.0439%
Rohm Co Ltd,ROHCF,0.0436%
Barratt Developments PLC,BDEV,0.0436%
Sumitomo Chemical Co Ltd,4005,0.0434%
Randstad NV,RAND,0.0432%
LendLease Group,LLC,0.0432%
Orkla ASA,ORKLF,0.0431%
Yara International ASA,YAR,0.0431%
Bank Hapoalim BM,POLI,0.0429%
Henderson Land Development Co Ltd,12,0.0429%
Murata Manufacturing Co Ltd,MRAAF,0.0428%
Japan Exchange Group Inc,8697,0.0427%
Bankinter SA,BKT,0.0425%
Misumi Group Inc,9962,0.0424%
Micro Focus International PLC,MCRO,0.0421%
Baloise Holding Ltd,BALN,0.0421%
MTR Corp Ltd,66,0.042%
Shiseido Co Ltd,SSDOF,0.0419%
Endesa SA,ELE,0.0418%
APA Group,APA,0.0418%
Straumann Holding AG,STMN,0.0414%
Randgold Resources Ltd,RRS,0.0414%
Stockland Corporation Ltd,SGP,0.0414%
Nippon Building Fund Inc,8951,0.0414%
Deutsche Lufthansa AG,LHA,0.0412%
Paddy Power Betfair PLC,PPB,0.0412%
ITV PLC,ITV,0.0412%
Alfa Laval AB,ALFA,0.0411%
Aisin Seiki Co Ltd,7259,0.0411%
Qiagen NV,QIA,0.0409%
Yamato Holdings Co Ltd,9064,0.0408%
Kingspan Group PLC,KRX,0.0408%
Tokyo Electric Power Company Holdings Inc,9501,0.0407%
Omron Corp,6645,0.0407%
Weir Group PLC,WEIR,0.0407%
Alstom SA,ALO,0.0406%
Tokyo Gas Co Ltd,9531,0.0405%
BlueScope Steel Ltd,BSL,0.0405%
NEC Corp,6701,0.0405%
Royal Mail PLC,RMG,0.0404%
LEG Immobilien AG,LEG,0.0404%
Taisei Corp,1801,0.0404%
Dexus,DXS,0.0404%
Sonic Healthcare Ltd,SHL,0.0403%
Capitaland Ltd,C31,0.0402%
Mazda Motor Corp,7261,0.0401%
WM Morrison Supermarkets PLC,MRW,0.0399%
Aeroports de Paris SA,ADP,0.0397%
Berkeley Group Holdings PLC,BKG,0.0397%
Chugai Pharmaceutical Co Ltd,4519,0.0394%
GEA Group AG,G1A,0.0394%
Faurecia SA,EO,0.0391%
Trend Micro Inc,TMICF,0.0391%
Svenska Cellulosa SCA AB,SCA.B,0.0391%
Volkswagen AG,VOW,0.0391%
Scor SE,SCR,0.039%
Japan Real Estate Investment Corp,8952,0.0389%
Rakuten Inc,4755,0.0389%
Nomura Research Institute Ltd,4307,0.0387%
Direct Line Insurance Group PLC,DLG,0.0387%
GVC Holdings PLC,GVC,0.0385%
United Utilities Group PLC,UU.,0.0385%
ASR Nederland NV,ASRNL,0.0384%
Sekisui Chemical Co Ltd,4204,0.0383%
Aurizon Holdings Ltd,AZJ,0.0382%
LANXESS AG,LXS,0.0382%
Concordia Financial Group Ltd,7186,0.0381%
TOTO Ltd,5332,0.0378%
Bureau Veritas SA,BVI,0.0378%
Tokyu Corp,9005,0.0375%
a2 Milk Company Ltd,ATM,0.0375%
J Sainsbury PLC,SBRY,0.0375%
Rubis SCA,RUI,0.0374%
Ipsen SA,IPN,0.0374%
Renesas Electronics Corp,6723,0.0373%
Ramsay Health Care Ltd,RHC,0.0373%
Tabcorp Holdings Ltd,TAH,0.0371%
Yamaha Corp,7951,0.0368%
Eurofins Scientific SE,ERF,0.0368%
Hitachi Ltd,HTHIF,0.0366%
Ricoh Co Ltd,7752,0.0365%
Uniper SE,UN01,0.0364%
Getlink,GET,0.0364%
Suntory Beverage & Food Ltd,2587,0.0363%
Nice Ltd,NICE,0.0361%
Asahi Group Holdings Ltd,ASBRF,0.036%
Halma PLC,HLMA,0.036%
Skanska AB,SKA.B,0.0359%
Hargreaves Lansdown PLC,HL.,0.0357%
Dentsu Inc,4324,0.0357%
GPT Group,GPT,0.0355%
Wynn Macau Ltd,1128,0.0355%
Medibank Private Ltd,MPL,0.0354%
Vicinity Centres Re Ltd,VCX,0.0352%
Kao Corp,KAOCF,0.0351%
Electrolux AB,ELUX.B,0.0351%
Elisa Oyj,ELISA,0.0349%
Severn Trent PLC,SVT,0.0348%
Hiscox Ltd,HSX,0.0348%
Nippon Express Co Ltd,9062,0.0347%
Marks and Spencer Group PLC,MKS,0.0345%
Orpea SA,ORP,0.0345%
Prysmian SpA,PRY,0.0344%
Obayashi Corp,1802,0.0343%
Hoya Corp,HOCPF,0.0342%
AP Moeller - Maersk A/S,MAERSK.A,0.0342%
Caltex Australia Ltd,CTX,0.0342%
Computershare Ltd,CPU,0.0341%
Rheinmetall AG,RHM,0.0341%
Logitech International SA,LOGN,0.0341%
Mirvac Group,MGR,0.0341%
Innogy SE,IGY,0.0341%
Coca Cola HBC AG,CCH,0.0341%
Wheelock and Co Ltd,WHLKF,0.0338%
Boral Ltd,BLD,0.0338%
Nexon Co Ltd,3659,0.0338%
Obic Co Ltd,4684,0.0337%
International Consolidated Airlines Group SA,IAGe,0.0337%
Hugo Boss AG,BOSS,0.0337%
Swiss Prime Site AG,SPSN,0.0336%
Secom Co Ltd,SOMLF,0.0336%
Just Eat PLC,JE.,0.0336%
Osram Licht AG,OSR,0.0334%
Kion Group AG,KGX,0.0333%
Kikkoman Corp,2801,0.0333%
LIXIL Group Corp,5938,0.0333%
Sydney Airport Holdings Pty Ltd,SYD,0.0333%
Rightmove PLC,RMV,0.0332%
Evonik Industries AG,EVK,0.0331%
