Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
STX,"Seagate Tech Ord Shs",55.68,"Seagate Tech Ord Shs",NASDAQ,"Computer - Storage Devices","Computers and Technology",N/A,N/A,N/A,N/A
SWKS,"Skyworks Solutions",96.2,"Skyworks Solutions",NASDAQ,"Semi Radio Frequency","Computers and Technology",N/A,N/A,N/A,N/A
SYMC,"Symantec Corp",27.84,"Symantec Corp",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
TMUS,"T-Mobile US",57.26,"T-Mobile US",NASDAQ,"Wireless National",Utilities,N/A,N/A,N/A,N/A
TSLA,"Tesla Inc",294.09,"Tesla Inc",NASDAQ,"Auto - Domestic",Auto-Tires-Trucks,N/A,N/A,N/A,N/A
TTWO,"Take-Two Interacti",108.76,"Take-Two Interacti",NASDAQ,"Toys & Game & Hobby","Consumer Discretionary",N/A,N/A,N/A,N/A
TXN,"Texas Instruments",104.69,"Texas Instruments",NASDAQ,"Semi General","Computers and Technology",N/A,N/A,N/A,N/A
ULTA,"Ulta Salon Cosmetic",253.74,"Ulta Salon Cosmetic",NASDAQ,"Retail - Misc & Diversified",Retail-Wholesale,N/A,N/A,N/A,N/A
VOD,"Vodafone Grp Plc Ads",28.85,"Vodafone Grp Plc Ads",NASDAQ,"Wireless Non-US","Computers and Technology",N/A,N/A,N/A,N/A
VRSK,"Verisk Analytics Inc",102.36,"Verisk Analytics Inc",NASDAQ,"Business Information","Business Services",N/A,N/A,N/A,N/A
VRTX,"Vertex Pharmaceutic",149.39,"Vertex Pharmaceutic",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
WBA,"Walgreens Boots Alliance",63.81,"Walgreens Boots Alliance",NASDAQ,"Retail - Drug Stores",Retail-Wholesale,N/A,N/A,N/A,N/A
WDAY,"Workday Inc",130.05,"Workday Inc",NASDAQ,"Internet - Software","Computers and Technology",N/A,N/A,N/A,N/A
WDC,"Western Digital Cp",77.28,"Western Digital Cp",NASDAQ,"Computer - Storage Devices","Computers and Technology",N/A,N/A,N/A,N/A
WYNN,"Wynn Resorts Ltd",192.41,"Wynn Resorts Ltd",NASDAQ,Gaming,"Consumer Discretionary",N/A,N/A,N/A,N/A
XLNX,"Xilinx Inc",66.95,"Xilinx Inc",NASDAQ,"Semi Pro Logic Devices","Computers and Technology",N/A,N/A,N/A,N/A
XRAY,"Dentsply Sirona Inc",49.99,"Dentsply Sirona Inc",NASDAQ,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
"Downloaded from Barchart.com as of 05-06-2018 12:51pm CDT"
