VWO: Vanguard FTSE Emerging Markets ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	66601919
Shares Outstanding: 1465390000
Expense Ratio: 0.14%
Tracks This Index: FTSE Emerging Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VWO


Holding,Symbol,Weighting
Indah Kiat Pulp & Paper Tbk PT,INKP,0.0463%
China Biologic Products Holdings Inc,CBPO,0.0461%
Novatek Microelectronics Corp,3034,0.0459%
Alibaba Health Information Technology Ltd,241,0.0456%
IIFL Holdings Ltd,IIFL,0.0456%
JBS SA,JBSS3,0.0455%
Universal Robina Corp,URC,0.0455%
China Resources Cement Holdings Ltd,1313,0.0455%
Aluminum Corp of China Ltd,601600,0.0453%
Home Product Center PCL,HMPRO,0.0453%
Shenzhen Expressway Co Ltd,548,0.0452%
Kingdee International Software Group Co Ltd,268,0.045%
China Zhongwang Holdings Ltd,1333,0.0449%
Qisda Corp,2352,0.0449%
Vanguard International Semiconductor Corp,5347,0.0449%
Zhejiang Expressway Co Ltd,576,0.0448%
New China Life Insurance Co Ltd,601336,0.0448%
Indofood Sukses Makmur Tbk PT,INDF,0.0447%
Alsea SAB de CV,ALSEA*,0.0447%
Mercuries & Associates Holding Ltd,2905,0.0446%
Companhia Energetica de Minas Gerais CEMIG,CIG,0.0446%
Industrias Penoles SAB de CV,PE&OLES*,0.0444%
Midea Group Co Ltd,000333,0.0443%
WPG Holdings Ltd,3702,0.0442%
Agile Group Holdings Ltd,3383,0.0442%
LIC Housing Finance Ltd,LICHF,0.0442%
Gudang Garam Tbk PT,GGRM,0.044%
Bradespar SA,BRAP4,0.0438%
Pick N Pay Stores Ltd,PIK,0.0437%
MindTree Ltd,MTCL,0.0436%
China Eastern Airlines Corp Ltd,600115,0.0436%
Darwin Precisions Corp,6120,0.0436%
Haitong Securities Co Ltd,600837,0.0434%
Ruentex Industries Ltd,2915,0.0433%
Luye Pharma Group Ltd,2186,0.0432%
Centrais Eletricas Brasileiras SA,ELET3,0.0431%
Sino-Ocean Group Holding Ltd,3377,0.0431%
BTS Group Holdings PCL,BTS,0.0428%
Shanghai Pudong Development Bank Co Ltd,600000,0.0428%
YFY Inc,1907,0.0428%
Zhaojin Mining Industry Co Ltd,1818,0.0427%
China Merchants Securities Co Ltd,600999,0.0426%
Infraestructura Energetica Nova SAB de CV,IENOVA*,0.0426%
China Railway Signal & Communication Corp Ltd,3969,0.0425%
Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,BSMXB,0.0425%
Yangzijiang Shipbuilding Holdings Ltd,BS6,0.0424%
Sime Darby Bhd,SIME,0.0422%
China Communications Services Corp Ltd,552,0.0422%
Marico Ltd,MRCO,0.042%
IJM Corporation Bhd,IJM,0.0419%
Shanghai Mechanical & Electrical Industry Co Ltd,900925,0.0419%
Hyprop Investments Ltd,HYP,0.0418%
Bosch Ltd,BOS,0.0418%
Li Ning Co Ltd,2331,0.0417%
Realtek Semiconductor Corp,2379,0.0416%
Jiayuan International Group Ltd,2768,0.0416%
China BlueChemical Ltd,3983,0.0415%
China Power International Development Ltd,2380,0.0415%
BanRegio Grupo Financiero SAB de CV,RA,0.0414%
Compania Cervecerias Unidas SA,CCU,0.0414%
Britannia Industries Ltd,BRIT,0.0411%
Far East Horizon Ltd,3360,0.041%
Gemdale Corp,600383,0.0406%
Itau Corpbanca,ITAUCORP,0.0405%
Grupo Aeroportuario del Centro Norte SAB de CV,OMAB,0.0405%
ICICI Bank Ltd,ICICIBANK,0.0405%
Mahindra and Mahindra Financial Services Ltd,MMFS,0.0404%
Exxaro Resources Ltd,EXX,0.0402%
China International Capital Corp Ltd,3908,0.0402%
Health and Happiness (H&H) International Holdings Ltd,1112,0.0401%
Tong Hsing Electronic Industries Ltd,6271,0.0398%
Amtran Technology Co Ltd,2489,0.0398%
Turk Hava Yollari AO,THYAO,0.0398%
Yuexiu Property Co Ltd,123,0.0398%
Kalbe Farma Tbk PT,KLBF,0.0398%
National Bank of Greece SA,ETE,0.0397%
Bumrungrad Hospital PCL,BH,0.0397%
Multiplan Empreendimentos Imobiliarios SA,MULT3,0.0397%
SAIC Motor Corp Ltd,600104,0.0395%
CD Projekt SA,CDR,0.0395%
Eurobank Ergasias SA,EUROB,0.0393%
Chongqing Rural Commercial Bank Co Ltd,3618,0.0392%
MISC Bhd,MISC,0.0392%
China State Construction Engineering Corp Ltd,601668,0.0391%
Gree Electric Appliances Inc of Zhuhai,000651,0.039%
Havells India Ltd,HAVL,0.0389%
Commercial Bank PSQC,CBQK,0.0388%
Bank of Beijing Co Ltd,601169,0.0388%
Bharat Financial Inclusion Ltd,BHARATFIN,0.0387%
Pidilite Industries Ltd,PIDI,0.0387%
Braskem SA,BAK,0.0386%
COSCO SHIPPING Ports Ltd,1199,0.0386%
