IWF: iShares Russell 1000 Growth ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	39938206
Shares Outstanding: 292400000
Expense Ratio: 0.2%
Tracks This Index: Russell 1000 Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWF


Holding,Symbol,Weighting
Expeditors International of Washington Inc,EXPD,0.0609%
Medtronic PLC,MDT,0.0609%
American Airlines Group Inc,AAL,0.0606%
Veeva Systems Inc,VEEV,0.06%
Fortune Brands Home & Security Inc,FBHS,0.0591%
Masco Corp,MAS,0.0591%
Cabot Oil & Gas Corp,COG,0.0589%
Interpublic Group of Companies Inc,IPG,0.0581%
Tyler Technologies Inc,TYL,0.0578%
Cummins Inc,CMI,0.0578%
Equity LifeStyle Properties Inc,ELS,0.0577%
Cognex Corp,CGNX,0.0574%
Hasbro Inc,HAS,0.0571%
Robert Half International Inc,RHI,0.0569%
Graco Inc,GGG,0.0568%
Ball Corp,BLL,0.0564%
Marketaxess Holdings Inc,MKTX,0.0562%
Nordson Corp,NDSN,0.0559%
HD Supply Holdings Inc,HDS,0.0552%
Neurocrine Biosciences Inc,NBIX,0.0551%
Allegion PLC,ALLE,0.055%
Ultimate Software Group Inc,ULTI,0.0549%
Servicemaster Global Holdings Inc,SERV,0.0547%
FactSet Research Systems Inc,FDS,0.0545%
Berry Global Group Inc,BERY,0.0543%
KAR Auction Services Inc,KAR,0.0541%
Lennox International Inc,LII,0.0537%
Middleby Corp,MIDD,0.0535%
Alnylam Pharmaceuticals Inc,ALNY,0.0527%
Zebra Technologies Corp,ZBRA,0.0526%
Herbalife Nutrition Ltd,HLF,0.0526%
WABCO Holdings Inc,WBC,0.0511%
Alkermes Plc,ALKS,0.0509%
Trimble Inc,TRMB,0.0508%
Zayo Group Holdings Inc,ZAYO,0.0506%
Axalta Coating Systems Ltd,AXTA,0.0505%
Qurate Retail Inc,QRTEA,0.0497%
Xylem Inc,XYL,0.0494%
Service Corporation International,SCI,0.0491%
DexCom Inc,DXCM,0.049%
Polaris Industries Inc,PII,0.0486%
Alaska Air Group Inc,ALK,0.0483%
Hologic Inc,HOLX,0.0482%
HanesBrands Inc,HBI,0.0481%
Black Knight Inc,BKI,0.0479%
EOG Resources Inc,EOG,0.0478%
Teradyne Inc,TER,0.0478%
BWX Technologies Inc,BWXT,0.0477%
Eaton Vance Corp,EV,0.0477%
West Pharmaceutical Services Inc,WST,0.0476%
Emerson Electric Co,EMR,0.0475%
Microsemi Corp,MSCC,0.0475%
Toro Co,TTC,0.0468%
Exelixis Inc,EXEL,0.0465%
American International Group Inc,AIG,0.0458%
CBRE Group Inc,CBRE,0.0454%
Nordstrom Inc,JWN,0.0448%
RPM International Inc,RPM,0.0444%
Seattle Genetics Inc,SGEN,0.0438%
DISH Network Corp,DISH,0.0434%
Lazard Ltd,LAZ,0.0429%
Dunkin' Brands Group Inc,DNKN,0.0427%
Newfield Exploration Co,NFX,0.0425%
Bright Horizons Family Solutions Inc,BFAM,0.0424%
Tableau Software Inc,DATA,0.0424%
Donaldson Company Inc,DCI,0.0417%
Live Nation Entertainment Inc,LYV,0.0411%
LPL Financial Holdings Inc,LPLA,0.0409%
Bio-Techne Corp,TECH,0.0408%
Pool Corp,POOL,0.0406%
Booz Allen Hamilton Holding Corp,BAH,0.0402%
Thor Industries Inc,THO,0.0401%
Ionis Pharmaceuticals Inc,IONS,0.0401%
Hill-Rom Holdings Inc,HRC,0.04%
Burlington Stores Inc,BURL,0.0398%
Atlassian Corp PLC,TEAM,0.0397%
Agilent Technologies Inc,A,0.0396%
Watsco Inc,WSO,0.0391%
Old Dominion Freight Line Inc,ODFL,0.039%
athenahealth Inc,ATHN,0.039%
Cavium Inc,CAVM,0.0385%
Charles River Laboratories International Inc,CRL,0.0384%
Allison Transmission Holdings Inc,ALSN,0.0382%
Lamar Advertising Co,LAMR,0.0382%
Lincoln Electric Holdings Inc,LECO,0.0379%
WEX Inc,WEX,0.0378%
Harley-Davidson Inc,HOG,0.0377%
Douglas Emmett Inc,DEI,0.0376%
Qorvo Inc,QRVO,0.037%
Genpact Ltd,G,0.0366%
W. R. Grace & Co,GRA,0.0363%
Parsley Energy Inc,PE,0.0362%
Genuine Parts Co,GPC,0.0361%
Campbell Soup Co,CPB,0.0357%
Rollins Inc,ROL,0.0355%
Carter's Inc,CRI,0.0352%
Eagle Materials Inc,EXP,0.0351%
Harris Corp,HRS,0.0344%
XL Group Ltd,XL,0.0342%
CyrusOne Inc,CONE,0.0338%
Brunswick Corp,BC,0.0333%
Crown Holdings Inc,CCK,0.0333%
Landstar System Inc,LSTR,0.0331%
Coherent Inc,COHR,0.0329%
Leggett & Platt Inc,LEG,0.0328%
Delphi Technologies PLC,DLPH,0.0326%
Sensata Technologies Holding PLC,ST,0.0325%
HEICO Corp,HEI.A,0.0322%
Signature Bank,SBNY,0.0321%
Gentex Corp,GNTX,0.0318%
Six Flags Entertainment Corp,SIX,0.0316%
Freeport-McMoRan Inc,FCX,0.031%
Sabre Corp,SABR,0.031%
FLIR Systems Inc,FLIR,0.0308%
T. Rowe Price Group Inc,TROW,0.0308%
Sealed Air Corp,SEE,0.0307%
Hilton Grand Vacations Inc,HGV,0.03%
Zillow Group Inc,Z,0.0298%
Euronet Worldwide Inc,EEFT,0.0298%
Hexcel Corp,HXL,0.0298%
Universal Display Corp,OLED,0.0296%
Agios Pharmaceuticals Inc,AGIO,0.0294%
Aramark,ARMK,0.0292%
Visteon Corp,VC,0.0292%
Southern Copper Corp,SCCO,0.0288%
LogMeIn Inc,LOGM,0.0277%
CoreSite Realty Corp,COR,0.0276%
CubeSmart,CUBE,0.0276%
Hubbell Inc,HUBB,0.0271%
National Instruments Corp,NATI,0.0261%
Western Digital Corp,WDC,0.0259%
NCR Corp,NCR,0.0257%
Western Alliance Bancorp,WAL,0.0251%
McKesson Corp,MCK,0.0249%
Baxter International Inc,BAX,0.0248%
Acuity Brands Inc,AYI,0.0248%
RSP Permian Inc,RSPP,0.0248%
Energizer Holdings Inc,ENR,0.0247%
Williams Companies Inc,WMB,0.0245%
Credit Acceptance Corp,CACC,0.0241%
Sprouts Farmers Market Inc,SFM,0.0239%
Scotts Miracle-Gro Co,SMG,0.0238%
Univar Inc,UNVR,0.0237%
Federal Realty Investment Trust,FRT,0.0237%
Graphic Packaging Holding Co,GPK,0.0234%
Wendys Co,WEN,0.0232%
Diamondback Energy Inc,FANG,0.0227%
Toll Brothers Inc,TOL,0.0222%
Raymond James Financial Inc,RJF,0.022%
Manhattan Associates Inc,MANH,0.0218%
Huntsman Corp,HUN,0.0218%
Express Scripts Holding Co,ESRX,0.0217%
Wayfair Inc,W,0.0217%
NewMarket Corp,NEU,0.0213%
Boston Properties Inc,BXP,0.0212%
Capital One Financial Corp,COF,0.0209%
CommScope Holding Company Inc,COMM,0.0208%
Continental Resources Inc,CLR,0.0203%
HEICO Corp,HEI,0.0203%
