IWD: iShares Russell 1000 Value ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	35545888
Shares Outstanding: 298400000
Expense Ratio: 0.2%
Tracks This Index: Russell 1000 Value Index
ETFdb.com Category: Large Cap Value Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWD


Holding,Symbol,Weighting
Snap-On Inc,SNA,0.0609%
AGNC Investment Corp,AGNC,0.0607%
Liberty Broadband Corp,LBRDK,0.0605%
Owens Corning,OC,0.0604%
Lamb Weston Holdings Inc,LW,0.0603%
Sun Communities Inc,SUI,0.0596%
Jacobs Engineering Group Inc,JEC,0.0591%
Pinnacle Foods Inc,PF,0.0586%
General Mills Inc,GIS,0.0585%
W. R. Berkley Corp,WRB,0.0583%
L Brands Inc,LB,0.0582%
CIT Group Inc,CIT,0.0582%
Great Plains Energy Inc,GXP,0.0581%
US Foods Holding Corp,USFD,0.0581%
Kilroy Realty Corp,KRC,0.0579%
WPX Energy Inc,WPX,0.0576%
Xerox Corp,XRX,0.0562%
VF Corp,VFC,0.0562%
Invitation Homes Inc,INVH,0.0558%
WP Carey Inc,WPC,0.0556%
D.R. Horton Inc,DHI,0.0556%
VEREIT Inc,VER,0.0556%
PacWest Bancorp,PACW,0.0548%
T-Mobile US Inc,TMUS,0.0545%
OGE Energy Corp,OGE,0.0545%
Arrow Electronics Inc,ARW,0.0544%
Cullen/Frost Bankers Inc,CFR,0.0541%
Carlisle Companies Inc,CSL,0.0538%
ManpowerGroup Inc,MAN,0.0534%
Gap Inc,GPS,0.0533%
Apartment Investment and Management Co,AIV,0.0533%
PerkinElmer Inc,PKI,0.0521%
JetBlue Airways Corp,JBLU,0.0519%
Waste Management Inc,WM,0.0516%
Brown & Brown Inc,BRO,0.0515%
Aqua America Inc,WTR,0.0515%
Teledyne Technologies Inc,TDY,0.0514%
Reliance Steel & Aluminum Co,RS,0.0513%
People's United Financial Inc,PBCT,0.0512%
Synovus Financial Corp,SNV,0.0512%
Energen Corp,EGN,0.0512%
Liberty Property Trust,LPT,0.0507%
Goodyear Tire & Rubber Co,GT,0.0506%
DCT Industrial Trust Inc,DCT,0.0506%
Kimco Realty Corp,KIM,0.0499%
Leucadia National Corp,LUK,0.0493%
Commerce Bancshares Inc,CBSH,0.0491%
News Corp,NWSA,0.0491%
Ball Corp,BLL,0.0491%
National Retail Properties Inc,NNN,0.0491%
Flowserve Corp,FLS,0.0486%
Advance Auto Parts Inc,AAP,0.0486%
Xylem Inc,XYL,0.0486%
Celanese Corp,CE,0.0485%
New Residential Investment Corp,NRZ,0.0484%
Ralph Lauren Corp,RL,0.0483%
Vectren Corp,VVC,0.0483%
PulteGroup Inc,PHM,0.0482%
Adient PLC,ADNT,0.0479%
Athene Holding Ltd,ATH,0.0472%
United States Steel Corp,X,0.0471%
Liberty Media Corp,FWONK,0.047%
New York Community Bancorp Inc,NYCB,0.0465%
Webster Financial Corp,WBS,0.046%
First Solar Inc,FSLR,0.0457%
AECOM,ACM,0.0457%
Discovery Inc,DISCK,0.0456%
First American Financial Corp,FAF,0.0456%
First Horizon National Corp,FHN,0.045%
MDU Resources Group Inc,MDU,0.0448%
American Campus Communities Inc,ACC,0.0444%
Kimberly-Clark Corp,KMB,0.0441%
IQVIA Holdings Inc,IQV,0.0439%
Starwood Property Trust Inc,STWD,0.0437%
Cigna Corp,CI,0.0434%
Validus Holdings Ltd,VR,0.0432%
Praxair Inc,PX,0.0432%
Interactive Brokers Group Inc,IBKR,0.0432%
Forest City Realty Trust Inc,FCE.A,0.0429%
CSX Corp,CSX,0.0429%
Oshkosh Corp,OSK,0.0428%
Westinghouse Air Brake Technologies Corp,WAB,0.0427%
Federal Realty Investment Trust,FRT,0.0427%
Omega Healthcare Investors Inc,OHI,0.0424%
Transocean Ltd,RIG,0.0424%
Digital Realty Trust Inc,DLR,0.0424%
Bio Rad Laboratories Inc,BIO,0.0424%
Sonoco Products Co,SON,0.0422%
Aramark,ARMK,0.0422%
Park Hotels & Resorts Inc,PK,0.0422%
Healthcare Trust Of America Inc,HTA,0.0418%
SLM Corp,SLM,0.0415%
Olin Corp,OLN,0.0414%
American Homes 4 Rent,AMH,0.0411%
Rayonier Inc,RYN,0.041%
Murphy Oil Corp,MUR,0.041%
Post Holdings Inc,POST,0.0409%
Teradata Corp,TDC,0.0404%
Alexion Pharmaceuticals Inc,ALXN,0.0403%
Qiagen NV,QGEN,0.0402%
Simon Property Group Inc,SPG,0.0401%
