IJR: iShares Core S&P Small-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	37959903
Shares Outstanding: 484700000
Expense Ratio: 0.07%
Tracks This Index: S&P SmallCap 600 Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJR


Holding,Symbol,Weighting
Tivity Health Inc,TVTY,0.1568%
Evertec Inc,EVTC,0.1564%
OSI Systems Inc,OSIS,0.1561%
American Woodmark Corp,AMWD,0.1559%
Strayer Education Inc,STRA,0.1552%
Wabash National Corp,WNC,0.155%
Triumph Group Inc,TGI,0.1549%
Unit Corp,UNT,0.1544%
Chico's FAS Inc,CHS,0.1541%
Xperi Corp,XPER,0.153%
U.S. Physical Therapy Inc,USPH,0.1525%
Cardtronics PLC,CATM,0.1521%
Fabrinet,FN,0.152%
AeroVironment Inc,AVAV,0.1513%
ePlus inc,PLUS,0.1512%
Scholastic Corp,SCHL,0.1507%
AZZ Inc,AZZ,0.1504%
Knowles Corp,KN,0.1499%
Cray Inc,CRAY,0.1484%
Sykes Enterprises Inc,SYKE,0.1483%
City Holding Co,CHCO,0.1483%
Gibraltar Industries Inc,ROCK,0.1476%
Capella Education Co,CPLA,0.1476%
AdvanSix Inc,ASIX,0.1475%
Diodes Inc,DIOD,0.147%
Avon Products Inc,AVP,0.1454%
Gannett Co Inc,GCI,0.145%
Wisdom Tree Investments Inc,WETF,0.1446%
Noble Corporation PLC,NE,0.1446%
Sleep Number Corp,SNBR,0.1442%
Acorda Therapeutics Inc,ACOR,0.144%
Helix Energy Solutions Group Inc,HLX,0.1436%
Natus Medical Inc,BABY,0.1434%
OraSure Technologies Inc,OSUR,0.1432%
Amerisafe Inc,AMSF,0.1431%
Winnebago Industries Inc,WGO,0.1427%
Third Point Reinsurance Ltd,TPRE,0.1425%
B&G Foods Inc,BGS,0.1425%
Crocs Inc,CROX,0.1417%
Rayonier Advanced Materials Inc,RYAM,0.1408%
ProPetro Holding Corp,PUMP,0.1408%
Universal Insurance Holdings Inc,UVE,0.1403%
Diplomat Pharmacy Inc,DPLO,0.1403%
Alarm.com Holdings Inc,ALRM,0.1394%
PennyMac Mortgage Investment Trust,PMT,0.1387%
Alamo Group Inc,ALG,0.1386%
Encore Capital Group Inc,ECPG,0.1385%
MGP Ingredients Inc,MGPI,0.138%
Astec Industries Inc,ASTE,0.1378%
Materion Corp,MTRN,0.137%
Kite Realty Group Trust,KRG,0.1366%
Owens & Minor Inc,OMI,0.1355%
Viad Corp,VVI,0.1353%
Nutrisystem Inc,NTRI,0.1353%
NIC Inc,EGOV,0.1349%
CareTrust REIT Inc,CTRE,0.1349%
Medifast Inc,MED,0.1344%
Analogic Corp,ALOG,0.1338%
Piper Jaffray Companies,PJC,0.1333%
CTS Corp,CTS,0.1329%
Encore Wire Corp,WIRE,0.1325%
Innoviva Inc,INVA,0.1325%
BJ's Restaurants Inc,BJRI,0.1319%
Enova International Inc,ENVA,0.1314%
Stewart Information Services Corp,STC,0.1305%
New Media Investment Group Inc,NEWM,0.1301%
TrueBlue Inc,TBI,0.1299%
Cash Component,CASH,0.1298%
Sonic Corp,SONC,0.1291%
Iridium Communications Inc,IRDM,0.1282%
Tompkins Financial Corp,TMP,0.1278%
Government Properties Income Trust,GOV,0.1277%
Navigant Consulting Inc,NCI,0.1273%
Sturm Ruger & Company Inc,RGR,0.1272%
Re/Max Holdings Inc,RMAX,0.1269%
Orthofix International NV,OFIX,0.1268%
National Bank Holdings Corp,NBHC,0.1264%
US Concrete Inc,USCR,0.1263%
Ramco-Gershenson Properties Trust,RPT,0.1253%
Exterran Corp,EXTN,0.1253%
Core-Mark Holding Company Inc,CORE,0.1252%
Easterly Government Properties Inc,DEA,0.1238%
Newpark Resources Inc,NR,0.1236%
Lindsay Corp,LNN,0.1233%
ARMOUR Residential REIT Inc,ARR,0.1232%
Standard Motor Products Inc,SMP,0.1229%
MTS Systems Corp,MTSC,0.1217%
J C Penney Company Inc,JCP,0.1209%
Southside Bancshares Inc,SBSI,0.1208%
SEACOR Holdings Inc,CKH,0.1204%
Koppers Holdings Inc,KOP,0.1204%
PGT Innovations Inc,PGTI,0.1203%
NMI Holdings Inc,NMIH,0.1191%
Kelly Services Inc,KELYA,0.119%
Ring Energy Inc,REI,0.119%
Hanmi Financial Corp,HAFC,0.1188%
Heartland Express Inc,HTLD,0.1188%
Shake Shack Inc,SHAK,0.1184%
LivePerson Inc,LPSN,0.1183%
Belmond Ltd,BEL,0.1172%
Multi-Color Corp,LABL,0.1166%
ScanSource Inc,SCSC,0.1165%
Monotype Imaging Holdings Inc,TYPE,0.1164%
KEMET Corp,KEM,0.1153%
Washington Prime Group Inc,WPG,0.1152%
Luminex Corp,LMNX,0.115%
Chatham Lodging Trust,CLDT,0.115%
Career Education Corp,CECO,0.1149%
FormFactor Inc,FORM,0.114%
Inter Parfums Inc,IPAR,0.1133%
FARO Technologies Inc,FARO,0.1131%
Customers Bancorp Inc,CUBI,0.113%
Franklin Street Properties Corp,FSP,0.1124%
Andersons Inc,ANDE,0.1122%
Innophos Holdings Inc,IPHS,0.1116%
ArcBest Corp,ARCB,0.1112%
TrustCo Bank Corp N Y,TRST,0.1111%
M/I Homes Inc,MHO,0.111%
Providence Service Corp,PRSC,0.111%
Rudolph Technologies Inc,RTEC,0.111%
Getty Realty Corp,GTY,0.1108%
Genesco Inc,GCO,0.1105%
Phibro Animal Health Corp,PAHC,0.1103%
Perficient Inc,PRFT,0.11%
Kindred Healthcare Inc,KND,0.1092%
Century Aluminum Co,CENX,0.109%
Virtus Investment Partners Inc,VRTS,0.1086%
Frontier Communications Corp,FTR,0.1079%
Capstead Mortgage Corp,CMO,0.1071%
Independence Realty Trust Inc,IRT,0.1067%
Vista Outdoor Inc,VSTO,0.1058%
Banc of California Inc,BANC,0.1053%
Nanometrics Inc,NANO,0.1052%
