VO: Vanguard Mid-Cap Index ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	22212417
Shares Outstanding: 145065000
Expense Ratio: 0.05%
Tracks This Index: CRSP US Mid Cap Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VO


Holding,Symbol,Weighting
Athene Holding Ltd,ATH,0.1925%
Westinghouse Air Brake Technologies Corp,WAB,0.1922%
Liberty Broadband Corp,LBRDK,0.1919%
Arconic Inc,ARNC,0.1919%
Zayo Group Holdings Inc,ZAYO,0.1918%
Leucadia National Corp,LUK,0.1877%
Sealed Air Corp,SEE,0.1873%
AGNC Investment Corp,AGNC,0.187%
Pentair PLC,PNR,0.1863%
Coty Inc,COTY,0.1862%
Owens Corning,OC,0.1861%
Robert Half International Inc,RHI,0.1854%
FactSet Research Systems Inc,FDS,0.1847%
Loews Corp,L,0.1828%
Xerox Corp,XRX,0.1811%
WABCO Holdings Inc,WBC,0.179%
Lazard Ltd,LAZ,0.1767%
Alkermes Plc,ALKS,0.1758%
Liberty Media Corp,LSXMK,0.1756%
Axalta Coating Systems Ltd,AXTA,0.1754%
Nektar Therapeutics,NKTR,0.1738%
Harley-Davidson Inc,HOG,0.1734%
W. R. Berkley Corp,WRB,0.1719%
Invitation Homes Inc,INVH,0.1695%
VEREIT Inc,VER,0.1694%
Arrow Electronics Inc,ARW,0.1694%
OGE Energy Corp,OGE,0.1686%
CIT Group Inc,CIT,0.1674%
Abiomed Inc,ABMD,0.1658%
Polaris Industries Inc,PII,0.165%
Discovery Inc,DISCK,0.1647%
Garmin Ltd,GRMN,0.1635%
ManpowerGroup Inc,MAN,0.1635%
Black Knight Inc,BKI,0.1633%
Crown Holdings Inc,CCK,0.1623%
Teleflex Inc,TFX,0.162%
Diamondback Energy Inc,FANG,0.1617%
People's United Financial Inc,PBCT,0.1614%
Broadridge Financial Solutions Inc,BR,0.1599%
HanesBrands Inc,HBI,0.1589%
Continental Resources Inc,CLR,0.1584%
Reliance Steel & Aluminum Co,RS,0.1528%
Ralph Lauren Corp,RL,0.1503%
Nordstrom Inc,JWN,0.1495%
Kimco Realty Corp,KIM,0.1489%
LogMeIn Inc,LOGM,0.1482%
HollyFrontier Corp,HFC,0.1465%
Hubbell Inc,HUBB,0.1451%
XPO Logistics Inc,XPO,0.1442%
New York Community Bancorp Inc,NYCB,0.1416%
Allison Transmission Holdings Inc,ALSN,0.1362%
Packaging Corp of America,PKG,0.1347%
Domino's Pizza Inc,DPZ,0.134%
SCANA Corp,SCG,0.1335%
Targa Resources Corp,TRGP,0.1326%
IAC/InterActiveCorp,IAC,0.1297%
Alcoa Corp,AA,0.1248%
Acuity Brands Inc,AYI,0.1211%
Brighthouse Financial Inc,BHF,0.1184%
Antero Resources Corp,AR,0.1156%
Ingredion Inc,INGR,0.1083%
Westlake Chemical Corp,WLK,0.1072%
FLIR Systems Inc,FLIR,0.0957%
Cognex Corp,CGNX,0.0953%
Discovery Inc,DISCA,0.0936%
Helmerich and Payne Inc,HP,0.0918%
Liberty Media Corp,LSXMA,0.0912%
Under Armour Inc,UAA,0.0868%
Avangrid Inc,AGR,0.0851%
Hyatt Hotels Corp,H,0.083%
Under Armour Inc,UA,0.0791%
Goodyear Tire & Rubber Co,GT,0.0774%
Flowserve Corp,FLS,0.0757%
Seattle Genetics Inc,SGEN,0.0711%
Stericycle Inc,SRCL,0.0652%
Mattel Inc,MAT,0.0627%
Brixmor Property Group Inc,BRX,0.0568%
Altice USA Inc,ATUS,0.0542%
TripAdvisor Inc,TRIP,0.052%
nVent Electric PLC,NVT,0.0464%
Liberty Broadband Corp,LBRDA,0.0436%
Macquarie Infrastructure Corp,MIC,0.0384%
Dropbox Inc,DBX,0.0292%
Pilgrims Pride Corp,PPC,0.0274%
ADT Inc,ADT,0.025%
Cash Component,CASH,0.0104%
Viacom Inc,VIA,0.0089%
