VYM: Vanguard High Dividend Yield ETF
Inception Date: 2006-11-16
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	20284944
Shares Outstanding: 248438000
Expense Ratio: 0.08%
Tracks This Index: FTSE High Dividend Yield Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VYM


Holding,Symbol,Weighting
Artisan Partners Asset Management Inc,APAM,0.0157%
DSW Inc,DSW,0.0156%
Triton International Ltd,TRTN,0.0156%
Dine Brands Global Inc,DIN,0.0154%
Pattern Energy Group Inc,PEGI,0.0152%
B&G Foods Inc,BGS,0.0152%
Tailored Brands Inc,TLRD,0.0151%
First Hawaiian Inc,FHB,0.0151%
Waddell & Reed Financial Inc,WDR,0.015%
Guess? Inc,GES,0.015%
HNI Corp,HNI,0.015%
McGrath RentCorp,MGRC,0.0149%
First Commonwealth Financial Corp,FCF,0.0149%
Archrock Inc,AROC,0.0148%
S&T Bancorp Inc,STBA,0.0148%
Boston Private Financial Holdings Inc,BPFH,0.0145%
Greif Inc,GEF,0.0144%
CNA Financial Corp,CNA,0.0144%
ManTech International Corp,MANT,0.0141%
HFF Inc,HF,0.014%
GameStop Corp,GME,0.0138%
Westamerica Bancorp,WABC,0.0138%
Sandy Spring Bancorp Inc,SASR,0.0138%
Greenbrier Companies Inc,GBX,0.0132%
Brookline Bancorp Inc,BRKL,0.0132%
Mercury General Corp,MCY,0.0132%
Cosan Ltd,CZZ,0.0131%
MDC Holdings Inc,MDC,0.0129%
Wisdom Tree Investments Inc,WETF,0.0128%
A Schulman Inc,SHLM,0.0126%
NRG Yield Inc,NYLD,0.0122%
Chico's FAS Inc,CHS,0.0121%
Steelcase Inc,SCS,0.012%
American National Insurance Co,ANAT,0.0118%
Universal Corp,UVV,0.0117%
Safety Insurance Group Inc,SAFT,0.0116%
Copa Holdings SA,CPA,0.0115%
AmTrust Financial Services Inc,AFSI,0.0115%
Gannett Co Inc,GCI,0.0115%
Schweitzer-Mauduit International Inc,SWM,0.0114%
H&E Equipment Services Inc,HEES,0.0113%
Sturm Ruger & Company Inc,RGR,0.011%
City Holding Co,CHCO,0.0107%
Owens & Minor Inc,OMI,0.0106%
Rayonier Advanced Materials Inc,RYAM,0.0102%
NIC Inc,EGOV,0.0098%
Aircastle Ltd,AYR,0.0098%
Knoll Inc,KNL,0.0098%
Ship Finance International Ltd,SFL,0.0091%
New Media Investment Group Inc,NEWM,0.0089%
Ferroglobe PLC,GSM,0.0089%
Frontier Communications Corp,FTR,0.0086%
Innophos Holdings Inc,IPHS,0.0086%
Schnitzer Steel Industries Inc,SCHN,0.0084%
TrustCo Bank Corp N Y,TRST,0.0081%
Consolidated Communications Holdings Inc,CNSL,0.008%
TFS Financial Corp,TFSL,0.0079%
Kindred Healthcare Inc,KND,0.0079%
Briggs & Stratton Corp,BGG,0.0078%
Cohen & Steers Inc,CNS,0.0077%
Scorpio Tankers Inc,STNG,0.0076%
FBL Financial Group Inc,FFG,0.0076%
Flushing Financial Corp,FFIC,0.0076%
GasLog Ltd,GLOG,0.0074%
AVX Corp,AVX,0.0074%
Community Trust Bancorp Inc,CTBI,0.0071%
Dime Community Bancshares Inc,DCOM,0.0067%
Buckle Inc,BKE,0.0067%
Meridian Bioscience Inc,VIVO,0.0063%
Oritani Financial Corp,ORIT,0.006%
NRG Yield Inc,NYLD.A,0.006%
Maiden Holdings Ltd,MHLD,0.0057%
Teekay Corp,TK,0.0057%
Myers Industries Inc,MYE,0.0056%
Ethan Allen Interiors Inc,ETH,0.0056%
RR Donnelley & Sons Co,RRD,0.0054%
CVR Energy Inc,CVI,0.0053%
Greenhill & Co Inc,GHL,0.005%
Seaspan Corp,SSW,0.0049%
National Presto Industries Inc,NPK,0.0047%
Weis Markets Inc,WMK,0.0045%
Republic Bancorp Inc,RBCAA,0.0042%
First Financial Corp,THFF,0.0042%
Rent-A-Center Inc,RCII,0.0042%
Atlantica Yield PLC,AY,0.0039%
Franks International NV,FI,0.0036%
National CineMedia Inc,NCMI,0.0036%
American Railcar Industries Inc,ARII,0.0036%
Barnes & Noble Inc,BKS,0.0035%
Frontline Ltd,FRO,0.0034%
Speedway Motorsports Inc,TRK,0.0017%
