IWM: iShares Russell 2000 ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	42410332
Shares Outstanding: 274350000
Expense Ratio: 0.2%
Tracks This Index: Russell 2000 Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWM


Holding,Symbol,Weighting
U.S. Silica Holdings Inc,SLCA,0.118%
Simmons First National Corp,SFNC,0.1179%
Ensco PLC,ESV,0.1176%
South Jersey Industries Inc,SJI,0.1174%
Great Western Bancorp Inc,GWB,0.1171%
HB Fuller Co,FUL,0.117%
Envestnet Inc,ENV,0.117%
Taylor Morrison Home Corp,TMHC,0.1169%
Helen of Troy Ltd,HELE,0.1166%
Applied Industrial Technologies Inc,AIT,0.1162%
Peabody Energy Corp,BTU,0.1162%
NuVasive Inc,NUVA,0.1159%
RLI Corp,RLI,0.1154%
Blackhawk Network Holdings Inc,HAWK,0.115%
Carpenter Technology Corp,CRS,0.1149%
Cirrus Logic Inc,CRUS,0.1147%
SiteOne Landscape Supply Inc,SITE,0.1147%
UniFirst Corp,UNF,0.1144%
Halyard Health Inc,HYH,0.1142%
Pebblebrook Hotel Trust,PEB,0.1141%
Advanced Energy Industries Inc,AEIS,0.114%
Rexford Industrial Realty Inc,REXR,0.114%
Columbia Sportswear Co,COLM,0.1139%
Qualys Inc,QLYS,0.1136%
Merit Medical Systems Inc,MMSI,0.1135%
STAG Industrial Inc,STAG,0.1132%
Simpson Manufacturing Co Inc,SSD,0.113%
Commercial Metals Co,CMC,0.1125%
Vishay Intertechnology Inc,VSH,0.1122%
BofI Holding Inc,BOFI,0.1122%
Vonage Holdings Corp,VG,0.112%
LCI Industries,LCII,0.1119%
Minerals Technologies Inc,MTX,0.1117%
Enstar Group Ltd,ESGR,0.1115%
Ultragenyx Pharmaceutical Inc,RARE,0.1112%
Cornerstone OnDemand Inc,CSOD,0.111%
Ormat Technologies Inc,ORA,0.1107%
KBR Inc,KBR,0.1106%
United Community Banks Inc,UCBI,0.1104%
Old National Bancorp,ONB,0.1098%
Penn National Gaming Inc,PENN,0.1096%
Compass Minerals International Inc,CMP,0.1096%
Lancaster Colony Corp,LANC,0.1095%
Halozyme Therapeutics Inc,HALO,0.1094%
Pegasystems Inc,PEGA,0.1087%
CVB Financial Corp,CVBF,0.1087%
PS Business Parks Inc,PSB,0.1082%
Sanderson Farms Inc,SAFM,0.108%
Tenneco Inc,TEN,0.1079%
Horizon Pharma PLC,HZNP,0.1078%
Netscout Systems Inc,NTCT,0.1076%
United Natural Foods Inc,UNFI,0.1076%
KB Home,KBH,0.1074%
Supernus Pharmaceuticals Inc,SUPN,0.1067%
Washington Real Estate Investment Trust,WRE,0.1067%
Kennedy-Wilson Holdings Inc,KW,0.1067%
Hope Bancorp Inc,HOPE,0.1063%
Lithia Motors Inc,LAD,0.1063%
Red Rock Resorts Inc,RRR,0.106%
Cheesecake Factory Inc,CAKE,0.1059%
Viavi Solutions Inc,VIAV,0.1047%
Itron Inc,ITRI,0.1045%
Axon Enterprise Inc,AAXN,0.1038%
Chegg Inc,CHGG,0.1037%
Bloomin' Brands Inc,BLMN,0.1036%
Exponent Inc,EXPO,0.1034%
DiamondRock Hospitality Co,DRH,0.1032%
Xenia Hotels & Resorts Inc,XHR,0.1031%
Convergys Corp,CVG,0.1029%
Union Bankshares Corp,UBSH,0.1028%
International Bancshares Corp,IBOC,0.1028%
New Relic Inc,NEWR,0.1027%
FTI Consulting Inc,FCN,0.1025%
Cleveland-Cliffs Inc,CLF,0.1023%
Plantronics Inc,PLT,0.1022%
Travelport Worldwide Ltd,TVPT,0.1019%
Syneos Health Inc,SYNH,0.1016%
TriNet Group Inc,TNET,0.1014%
FCB Financial Holdings Inc,FCB,0.1013%
Brinker International Inc,EAT,0.101%
Granite Construction Inc,GVA,0.101%
American Equity Investment Life Holding Co,AEL,0.1007%
Sanmina Corp,SANM,0.1004%
Urban Edge Properties,UE,0.1004%
Magellan Health Inc,MGLN,0.1002%
Trustmark Corp,TRMK,0.0999%
Childrens Place Inc,PLCE,0.0998%
Allscripts Healthcare Solutions Inc,MDRX,0.0994%
Wright Medical Group NV,WMGI,0.0985%
Cooper-Standard Holdings Inc,CPS,0.0982%
Acxiom Corp,ACXM,0.098%
Insmed Inc,INSM,0.098%
Meredith Corp,MDP,0.0979%
Medicines Co,MDCO,0.0971%
Spark Therapeutics Inc,ONCE,0.0969%
Hawaiian Holdings Inc,HA,0.0969%
Terreno Realty Corp,TRNO,0.0963%
Watts Water Technologies Inc,WTS,0.0962%
Renasant Corp,RNST,0.0962%
LHC Group Inc,LHCG,0.0962%
El Paso Electric Co,EE,0.0961%
Quality Care Properties Inc,QCP,0.0959%
MGE Energy Inc,MGEE,0.0959%
Builders FirstSource Inc,BLDR,0.0958%
Allegiant Travel Co,ALGT,0.0954%
American States Water Co,AWR,0.0952%
Select Medical Holdings Corp,SEM,0.0952%
Weight Watchers International Inc,WTW,0.0951%
Cogent Communications Holdings Inc,CCOI,0.0951%
Cars.com Inc,CARS,0.0947%
Independent Bank Corp,INDB,0.0945%
Franklin Electric Co Inc,FELE,0.0944%
GCP Applied Technologies Inc,GCP,0.0942%
Arena Pharmaceuticals Inc,ARNA,0.094%
Clovis Oncology Inc,CLVS,0.0939%
Acadia Realty Trust,AKR,0.0936%
Sotheby's,BID,0.0935%
Pure Storage Inc,PSTG,0.0932%
Rogers Corp,ROG,0.093%
RH,RH,0.0928%
Power Integrations Inc,POWI,0.0926%
LegacyTexas Financial Group Inc,LTXB,0.0925%
Sinclair Broadcast Group Inc,SBGI,0.0923%
ServisFirst Bancshares Inc,SFBS,0.0922%
Portola Pharmaceuticals Inc,PTLA,0.0918%
Boston Beer Company Inc,SAM,0.0914%
Universal Forest Products Inc,UFPI,0.0912%
JELD-WEN Holding Inc,JELD,0.091%
Towne Bank,TOWN,0.0909%
Vector Group Ltd,VGR,0.0909%
J & J Snack Foods Corp,JJSF,0.0906%
Box Inc,BOX,0.0902%
Apollo Commercial Real Estate Finance Inc,ARI,0.0902%
Worthington Industries Inc,WOR,0.0901%
Immunomedics Inc,IMMU,0.0899%
Eldorado Resorts Inc,ERI,0.0894%
Ebix Inc,EBIX,0.0894%
California Water Service Group,CWT,0.0894%
Ameris Bancorp,ABCB,0.0892%
Eagle Bancorp Inc,EGBN,0.0892%
Brooks Automation Inc,BRKS,0.089%
Plexus Corp,PLXS,0.0888%
Banner Corp,BANR,0.0888%
Argo Group International Holdings Ltd,AGII,0.0886%
Oil States International Inc,OIS,0.0886%
Herman Miller Inc,MLHR,0.0885%
Amedisys Inc,AMED,0.0882%
Esterline Technologies Corp,ESL,0.0879%
Novanta Inc,NOVT,0.0878%
8x8 Inc,EGHT,0.0873%
McDermott International Inc,MDR,0.0872%
WesBanco Inc,WSBC,0.0871%
Retail Opportunity Investments Corp,ROIC,0.0871%
Finisar Corp,FNSR,0.0869%
PriceSmart Inc,PSMT,0.0868%
Puma Biotechnology Inc,PBYI,0.0868%
Mobile Mini Inc,MINI,0.0866%
Quaker Chemical Corp,KWR,0.0864%
Myriad Genetics Inc,MYGN,0.0862%
CenterState Bank Corp,CSFL,0.0858%
Ferro Corp,FOE,0.0856%
Chart Industries Inc,GTLS,0.0856%
Invesco Mortgage Capital Inc,IVR,0.0852%
WD-40 Co,WDFC,0.0849%
Conmed Corp,CNMD,0.0849%
Aerojet Rocketdyne Holdings Inc,AJRD,0.0844%
Big Lots Inc,BIG,0.0843%
Harsco Corp,HSC,0.0838%
Horace Mann Educators Corp,HMN,0.0835%
First Merchants Corp,FRME,0.0833%
Monro Inc,MNRO,0.083%
Lexington Realty Trust,LXP,0.0829%
Infinera Corp,INFN,0.0829%
Exlservice Holdings Inc,EXLS,0.0829%
Aerie Pharmaceuticals Inc,AERI,0.0828%
Abercrombie & Fitch Co,ANF,0.0828%
Chesapeake Lodging Trust,CHSP,0.0827%
MINDBODY Inc,MB,0.0826%
SPX FLOW Inc,FLOW,0.0822%
Integer Holdings Corp,ITGR,0.0821%
Covanta Holding Corp,CVA,0.0819%
Innospec Inc,IOSP,0.0818%
Global Blood Therapeutics Inc,GBT,0.0817%
Anixter International Inc,AXE,0.0817%
QTS Realty Trust Inc,QTS,0.0817%
Saia Inc,SAIA,0.0816%
Northwest Natural Gas Co,NWN,0.0816%
Pinnacle Entertainment Inc,PNK,0.0815%
Navistar International Corp,NAV,0.0814%
Cambrex Corp,CBM,0.0814%
ABM Industries Inc,ABM,0.0813%
Dorman Products Inc,DORM,0.0812%
Five9 Inc,FIVN,0.0811%
NxStage Medical Inc,NXTM,0.0811%
Heron Therapeutics Inc,HRTX,0.0811%
Otter Tail Corp,OTTR,0.0811%
Meritage Homes Corp,MTH,0.0808%
MRC Global Inc,MRC,0.0807%
NETGEAR Inc,NTGR,0.0804%
Progress Software Corp,PRGS,0.0804%
Emergent BioSolutions Inc,EBS,0.0803%
Shenandoah Telecommunications Co,SHEN,0.0802%
Masonite International Corp,DOOR,0.0798%
Dave & Buster's Entertainment Inc,PLAY,0.0795%
Brady Corp,BRC,0.0794%
Moelis & Co,MC,0.0793%
World Wrestling Entertainment Inc,WWE,0.0793%
AnaptysBio Inc,ANAB,0.0791%
Albany International Corp,AIN,0.0785%
LendingTree Inc,TREE,0.0784%
Omnicell Inc,OMCL,0.078%
WageWorks Inc,WAGE,0.0777%
SemGroup Corp,SEMG,0.0777%
Werner Enterprises Inc,WERN,0.0775%
Hilltop Holdings Inc,HTH,0.0773%
Kaiser Aluminum Corp,KALU,0.0772%
Kaman Corp,KAMN,0.0771%
Superior Energy Services Inc,SPN,0.0771%
Chicago Bridge & Iron Company NV,CBI,0.0767%
Ubiquiti Networks Inc,UBNT,0.0766%
Quidel Corp,QDEL,0.0766%
Provident Financial Services Inc,PFS,0.0765%
Capitol Federal Financial Inc,CFFN,0.076%
Meritor Inc,MTOR,0.0759%
Dril-Quip Inc,DRQ,0.0759%
Novocure Ltd,NVCR,0.0758%
TiVo Corp,TIVO,0.0758%
Boise Cascade Co,BCC,0.0758%
Momenta Pharmaceuticals Inc,MNTA,0.0752%
Rowan Companies PLC,RDC,0.0751%
Caesars Entertainment Corp,CZR,0.0749%
Q2 Holdings Inc,QTWO,0.0749%
Callaway Golf Co,ELY,0.0748%
G-III Apparel Group Ltd,GIII,0.0747%
Papa John's International Inc,PZZA,0.0746%
NBT Bancorp Inc,NBTB,0.0745%
PRA Group Inc,PRAA,0.0744%
Fresh Del Monte Produce Inc,FDP,0.0742%
La Quinta Holdings Inc,LQ,0.074%
Forward Air Corp,FWRD,0.074%
Corcept Therapeutics Inc,CORT,0.0739%
Mack-Cali Realty Corp,CLI,0.0739%
Carrizo Oil & Gas Inc,CRZO,0.0738%
EnPro Industries Inc,NPO,0.0737%
Groupon Inc,GRPN,0.0736%
Bottomline Technologies (DE) Inc,EPAY,0.0736%
Mueller Industries Inc,MLI,0.0736%
Alexander & Baldwin Inc,ALEX,0.0735%
Ambarella Inc,AMBA,0.0734%
Northwest Bancshares Inc,NWBI,0.0734%
WSFS Financial Corp,WSFS,0.0733%
Matthews International Corp,MATW,0.0733%
iRobot Corp,IRBT,0.0732%
Comfort Systems USA Inc,FIX,0.0729%
Prestige Brands Holdings Inc,PBH,0.0727%
Imperva Inc,IMPV,0.0726%
Tronox Ltd,TROX,0.0726%
Pacific Premier Bancorp Inc,PPBI,0.0725%
HMS Holdings Corp,HMSY,0.0719%
Walker & Dunlop Inc,WD,0.0718%
Hecla Mining Co,HL,0.0718%
GTT Communications Inc,GTT,0.0716%
Tailored Brands Inc,TLRD,0.0714%
Cubic Corp,CUB,0.0712%
Summit Hotel Properties Inc,INN,0.0712%
Berkshire Hills Bancorp Inc,BHLB,0.0707%
Coupa Software Inc,COUP,0.0707%
Mercury Systems Inc,MRCY,0.0706%
Greif Inc,GEF,0.0706%
Synaptics Inc,SYNA,0.0706%
Mueller Water Products Inc,MWA,0.0705%
DSW Inc,DSW,0.0704%
Park National Corp,PRK,0.0703%
S&T Bancorp Inc,STBA,0.0703%
Enanta Pharmaceuticals Inc,ENTA,0.0702%
Artisan Partners Asset Management Inc,APAM,0.0702%
NOW Inc,DNOW,0.0701%
Calavo Growers Inc,CVGW,0.0701%
Impax Laboratories Inc,IPXL,0.0701%
Genworth Financial Inc,GNW,0.0701%
C&J Energy Services Inc,CJ,0.0701%
Rambus Inc,RMBS,0.0701%
Triton International Ltd,TRTN,0.0701%
ManTech International Corp,MANT,0.0698%
General Cable Corp,BGC,0.0697%
Abaxis Inc,ABAX,0.0697%
Arch Coal Inc,ARCH,0.0695%
Cavco Industries Inc,CVCO,0.0695%
HNI Corp,HNI,0.0693%
American Axle & Manufacturing Holdings Inc,AXL,0.0692%
Atlas Air Worldwide Holdings Inc,AAWW,0.069%
Coeur Mining Inc,CDE,0.0688%
Waddell & Reed Financial Inc,WDR,0.0688%
First Commonwealth Financial Corp,FCF,0.0687%
B&G Foods Inc,BGS,0.0682%
Kearny Financial Corp,KRNY,0.0678%
Cloudera Inc,CLDR,0.0678%
Archrock Inc,AROC,0.0678%
LTC Properties Inc,LTC,0.0677%
Pattern Energy Group Inc,PEGI,0.0677%
Independent Bank Group Inc,IBTX,0.0675%
MaxLinear Inc,MXL,0.0675%
Hub Group Inc,HUBG,0.0674%
Infinity Property and Casualty Corp,IPCC,0.0674%
Methode Electronics Inc,MEI,0.0673%
Westamerica Bancorp,WABC,0.0672%
Sangamo Therapeutics Inc,SGMO,0.0671%
CSG Systems International Inc,CSGS,0.067%
First Bancorp,FBP,0.0665%
Guess? Inc,GES,0.0663%
ESCO Technologies Inc,ESE,0.0663%
McGrath RentCorp,MGRC,0.0663%
Stepan Co,SCL,0.0661%
Varex Imaging Corp,VREX,0.0659%
Boston Private Financial Holdings Inc,BPFH,0.0658%
AAR Corp,AIR,0.0657%
Caleres Inc,CAL,0.0656%
Aaon Inc,AAON,0.0656%
Wingstop Inc,WING,0.0655%
Electronics for Imaging Inc,EFII,0.0655%
Four Corners Property Trust Inc,FCPT,0.0654%
Paylocity Holding Corp,PCTY,0.0654%
Repligen Corp,RGEN,0.0653%
Ensign Group Inc,ENSG,0.0653%
Kraton Corp,KRA,0.0652%
Actuant Corp,ATU,0.065%
Spectrum Pharmaceuticals Inc,SPPI,0.065%
Patrick Industries Inc,PATK,0.0648%
HRG Group Inc,HRG,0.0647%
SPX Corp,SPXC,0.0647%
Agree Realty Corp,ADC,0.0646%
Zogenix Inc,ZGNX,0.0645%
Pacira Pharmaceuticals Inc,PCRX,0.0645%
Raven Industries Inc,RAVN,0.0641%
Oclaro Inc,OCLR,0.0636%
Cal-Maine Foods Inc,CALM,0.0636%
La-Z-Boy Inc,LZB,0.0636%
Denbury Resources Inc,DNR,0.0635%
AK Steel Holding Corp,AKS,0.0635%
Atara Biotherapeutics Inc,ATRA,0.0635%
Varonis Systems Inc,VRNS,0.0634%
TTM Technologies Inc,TTMI,0.0634%
National Storage Affiliates Trust,NSA,0.0633%
Interface Inc,TILE,0.0632%
Dine Brands Global Inc,DIN,0.0632%
Inphi Corp,IPHI,0.0631%
Sun Hydraulics Corp,SNHY,0.0627%
Acceleron Pharma Inc,XLRN,0.0625%
Group 1 Automotive Inc,GPI,0.0624%
Virtusa Corp,VRTU,0.0622%
HFF Inc,HF,0.0617%
Heartland Financial USA Inc,HTLF,0.0616%
Tivity Health Inc,TVTY,0.0615%
Benchmark Electronics Inc,BHE,0.0614%
National General Holdings Corp,NGHC,0.0613%
Entercom Communications Corp,ETM,0.0613%
MDC Holdings Inc,MDC,0.0613%
Neenah Inc,NP,0.0612%
American Assets Trust Inc,AAT,0.0611%
Global Net Lease Inc,GNL,0.0608%
Wildhorse Resource Development Corp,WRD,0.0607%
Cannae Holdings Inc,CNNE,0.0605%
Matson Inc,MATX,0.0605%
Federal Signal Corp,FSS,0.0604%
Tennant Co,TNC,0.0602%
Insight Enterprises Inc,NSIT,0.0602%
Gentherm Inc,THRM,0.0602%
BioTelemetry Inc,BEAT,0.0602%
Redfin Corp,RDFN,0.0601%
Asbury Automotive Group Inc,ABG,0.06%
Imax Corp,IMAX,0.06%
Sandy Spring Bancorp Inc,SASR,0.0598%
Fox Factory Holding Corp,FOXF,0.0595%
Rush Enterprises Inc,RUSHA,0.0591%
Herc Holdings Inc,HRI,0.059%
MicroStrategy Inc,MSTR,0.059%
Employers Holdings Inc,EIG,0.059%
ACCO Brands Corp,ACCO,0.0589%
Oxford Industries Inc,OXM,0.0587%
Brookline Bancorp Inc,BRKL,0.0585%
Installed Building Products Inc,IBP,0.0583%
Cooper Tire & Rubber Co,CTB,0.0583%
Hertz Global Holdings Inc,HTZ,0.0583%
Extreme Networks Inc,EXTR,0.0582%
Greenbrier Companies Inc,GBX,0.0579%
TriMas Corp,TRS,0.0578%
LGI Homes Inc,LGIH,0.0576%
First Busey Corp,BUSE,0.0576%
Select Income Reit,SIR,0.0575%
State Bank Financial Corp,STBZ,0.0575%
A Schulman Inc,SHLM,0.0575%
Washington Prime Group Inc,WPG,0.0575%
MSG Networks Inc,MSGN,0.0573%
Central Garden & Pet Co,CENTA,0.0572%
US Ecology Inc,ECOL,0.0572%
Editas Medicine Inc,EDIT,0.0571%
Cotiviti Holdings Inc,COTV,0.0571%
PTC Therapeutics Inc,PTCT,0.0569%
Milacron Holdings Corp,MCRN,0.0567%
SPS Commerce Inc,SPSC,0.0567%
Kite Realty Group Trust,KRG,0.0565%
Evertec Inc,EVTC,0.0565%
Badger Meter Inc,BMI,0.0564%
Wabash National Corp,WNC,0.0564%
ICF International Inc,ICFI,0.0563%
Houlihan Lokey Inc,HLI,0.0562%
Trade Desk Inc,TTD,0.0562%
USANA Health Sciences Inc,USNA,0.0561%
Chesapeake Utilities Corp,CPK,0.056%
Winnebago Industries Inc,WGO,0.0558%
Schweitzer-Mauduit International Inc,SWM,0.0557%
