VUG: Vanguard Growth ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	33030248
Shares Outstanding: 231531000
Expense Ratio: 0.05%
Tracks This Index: MSCI US Prime Market Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VUG


Holding,Symbol,Weighting
Incyte Corp,INCY,0.101%
Cabot Oil & Gas Corp,COG,0.1008%
FMC Corp,FMC,0.0991%
Albemarle Corp,ALB,0.0988%
Stanley Black & Decker Inc,SWK,0.0979%
Extra Space Storage Inc,EXR,0.0979%
Varian Medical Systems Inc,VAR,0.0978%
Huntington Ingalls Industries Inc,HII,0.0975%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0963%
Mid-America Apartment Communities Inc,MAA,0.0955%
Gartner Inc,IT,0.0947%
J B Hunt Transport Services Inc,JBHT,0.0946%
Wyndham Worldwide Corp,WYN,0.0944%
Welltower Inc,WELL,0.0942%
Hilton Worldwide Holdings Inc,HLT,0.0936%
F5 Networks Inc,FFIV,0.0929%
Lululemon Athletica Inc,LULU,0.0923%
Verisign Inc,VRSN,0.0894%
VMware Inc,VMW,0.0892%
UDR Inc,UDR,0.089%
SL Green Realty Corp,SLG,0.087%
NVR Inc,NVR,0.0867%
Cimarex Energy Co,XEC,0.0856%
Qorvo Inc,QRVO,0.0853%
Ventas Inc,VTR,0.0852%
Iron Mountain Inc,IRM,0.0848%
Alliance Data Systems Corp,ADS,0.0838%
Regency Centers Corp,REG,0.0815%
LKQ Corp,LKQ,0.0815%
SEI Investments Co,SEIC,0.081%
Jazz Pharmaceuticals PLC,JAZZ,0.0807%
CDK Global Inc,CDK,0.0794%
Trimble Inc,TRMB,0.079%
Tractor Supply Co,TSCO,0.0784%
Federal Realty Investment Trust,FRT,0.0777%
Sensata Technologies Holding PLC,ST,0.0776%
Snap-On Inc,SNA,0.0773%
Fortune Brands Home & Security Inc,FBHS,0.0765%
CBS Corp,CBS,0.0755%
Comerica Inc,CMA,0.074%
Alnylam Pharmaceuticals Inc,ALNY,0.0732%
D.R. Horton Inc,DHI,0.0709%
IPG Photonics Corp,IPGP,0.0698%
Zayo Group Holdings Inc,ZAYO,0.069%
Westinghouse Air Brake Technologies Corp,WAB,0.0688%
Clorox Co,CLX,0.0683%
FactSet Research Systems Inc,FDS,0.0678%
Robert Half International Inc,RHI,0.0675%
Lennar Corp,LEN,0.0672%
Coty Inc,COTY,0.0668%
WABCO Holdings Inc,WBC,0.0652%
Sirius XM Holdings Inc,SIRI,0.065%
Alkermes Plc,ALKS,0.0629%
Axalta Coating Systems Ltd,AXTA,0.0628%
Nektar Therapeutics,NKTR,0.0622%
Tapestry Inc,TPR,0.0611%
Invitation Homes Inc,INVH,0.0607%
Teleflex Inc,TFX,0.0605%
Newell Brands Inc,NWL,0.0602%
Polaris Industries Inc,PII,0.06%
Abiomed Inc,ABMD,0.0593%
Black Knight Inc,BKI,0.0589%
United Rentals Inc,URI,0.0586%
Diamondback Energy Inc,FANG,0.0578%
Continental Resources Inc,CLR,0.0573%
Broadridge Financial Solutions Inc,BR,0.0572%
Tiffany & Co,TIF,0.0542%
Dentsply Sirona Inc,XRAY,0.0539%
Carmax Inc,KMX,0.0534%
LogMeIn Inc,LOGM,0.053%
XPO Logistics Inc,XPO,0.0525%
Raymond James Financial Inc,RJF,0.0521%
Hubbell Inc,HUBB,0.0519%
Targa Resources Corp,TRGP,0.0479%
Domino's Pizza Inc,DPZ,0.0479%
IAC/InterActiveCorp,IAC,0.0476%
Packaging Corp of America,PKG,0.0471%
Universal Health Services Inc,UHS,0.0462%
Advanced Micro Devices Inc,AMD,0.0461%
Snap Inc,SNAP,0.0448%
Acuity Brands Inc,AYI,0.0444%
Hormel Foods Corp,HRL,0.0426%
Antero Resources Corp,AR,0.0417%
CF Industries Holdings Inc,CF,0.0416%
Camden Property Trust,CPT,0.0361%
Alaska Air Group Inc,ALK,0.0355%
FLIR Systems Inc,FLIR,0.0347%
Cognex Corp,CGNX,0.0341%
Jones Lang LaSalle Inc,JLL,0.0336%
Sealed Air Corp,SEE,0.0331%
Owens Corning,OC,0.033%
Under Armour Inc,UAA,0.0319%
Hyatt Hotels Corp,H,0.0318%
Under Armour Inc,UA,0.0294%
Seattle Genetics Inc,SGEN,0.029%
TripAdvisor Inc,TRIP,0.0215%
Macquarie Infrastructure Corp,MIC,0.0158%
Cash Component,CASH,0.0149%
Altice USA Inc,ATUS,0.0106%
Dropbox Inc,DBX,0.007%
