Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
AKR,"Acadia Realty Trust",24.13,"Acadia Realty Trust",NYSE,"REIT - Equity Trust Retail",Finance,N/A,N/A,N/A,N/A
AKS,"AK Steel Holding Corp",4.53,"AK Steel Holding Corp",NYSE,"Steel - Producers","Basic Materials",N/A,N/A,N/A,N/A
AKTS,"Akoustis Technologies Inc",5.52,"Akoustis Technologies Inc",NASDAQ,"Semi Radio Frequency","Computers and Technology",N/A,N/A,N/A,N/A
ALCO,"Alico Inc",32.8,"Alico Inc",NASDAQ,"Agriculture Operations","Consumer Staples",N/A,N/A,N/A,N/A
ALDR,"Alder Biopharma",13.25,"Alder Biopharma",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ALE,"Allete Inc",79.62,"Allete Inc",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
ALEX,"Alexander and Baldwin Inc",23.08,"Alexander and Baldwin Inc",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
ALG,"Alamo Group",96.77,"Alamo Group",NYSE,"Machinery - Farm","Industrial Products",N/A,N/A,N/A,N/A
ALGT,"Allegiant Travel Com",159.95,"Allegiant Travel Com",NASDAQ,"Transportation - Airline",Transportation,N/A,N/A,N/A,N/A
ALNA,"Allena Pharmaceuticals Inc",15.6,"Allena Pharmaceuticals Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ALOG,"Analogic Cp",83.35,"Analogic Cp",NASDAQ,"Computers - Peripheral Equpt","Computers and Technology",N/A,N/A,N/A,N/A
ALRM,Alarm.Com,40.98,Alarm.Com,NASDAQ,"Protection - Safety","Industrial Products",N/A,N/A,N/A,N/A
ALRN,"Aileron Therapeutics Inc",5.25,"Aileron Therapeutics Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ALX,"Alexander's Inc",387.42,"Alexander's Inc",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
AMAG,"Amag Pharmaceuticals",20.1,"Amag Pharmaceuticals",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
