Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
BRK.B,"Berkshire Hath Hld Cl B",195.64,"Berkshire Hath Hld Cl B",NYSE,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
BSX,"Boston Scientific Corp",29.55,"Boston Scientific Corp",NYSE,"Medical Products",Medical,N/A,N/A,N/A,N/A
BWA,"Borgwarner Inc",49.13,"Borgwarner Inc",NYSE,"Auto - Truck Original Parts",Auto-Tires-Trucks,N/A,N/A,N/A,N/A
BXP,"Boston Properties",124.04,"Boston Properties",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
C,"Citigroup Inc",67.94,"Citigroup Inc",NYSE,"Banks - Major Regional",Finance,N/A,N/A,N/A,N/A
CA,"CA Inc",34.71,"CA Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
CAG,"Conagra Brands Inc",36.92,"Conagra Brands Inc",NYSE,"Food - Misc & Diversified","Consumer Staples",N/A,N/A,N/A,N/A
CAH,"Cardinal Health",53.01,"Cardinal Health",NYSE,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
CAT,"Caterpillar Inc",146.37,"Caterpillar Inc",NYSE,"Machinery - Construct & Mining","Industrial Products",N/A,N/A,N/A,N/A
CB,"Chubb Ltd",132.75,"Chubb Ltd",NYSE,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
CBOE,"CBOE Global Markets Inc",102.49,"CBOE Global Markets Inc",NASDAQ,"Securities Exchanges",Finance,N/A,N/A,N/A,N/A
CBRE,"CBRE Group Inc",46.73,"CBRE Group Inc",NYSE,"Real Estate Operations",Finance,N/A,N/A,N/A,N/A
CBS,"CBS Corp",53.17,"CBS Corp",NYSE,"Broadcast - Radio & TV","Consumer Discretionary",N/A,N/A,N/A,N/A
CCI,"Crown Castle International Corp",103.31,"Crown Castle International Corp",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
CCL,"Carnival Corp",63.57,"Carnival Corp",NYSE,"Leisure & Recreation Services","Consumer Discretionary",N/A,N/A,N/A,N/A
CDNS,"Cadence Design Sys",40.8,"Cadence Design Sys",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
CELG,"Celgene Corp",86.89,"Celgene Corp",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
CERN,"Cerner Corp",57.24,"Cerner Corp",NASDAQ,"Medical Information Systems",Medical,N/A,N/A,N/A,N/A
CF,"Cf Industries Holdings",38.51,"Cf Industries Holdings",NYSE,Fertilizers,"Basic Materials",N/A,N/A,N/A,N/A
CFG,"Citizens Financial Group Inc/Ri",41.03,"Citizens Financial Group Inc/Ri",NYSE,"Finance - Savings & Loan",Finance,N/A,N/A,N/A,N/A
CHD,"Church & Dwight Company",47.35,"Church & Dwight Company",NYSE,"Soap and Cleaning Products","Consumer Staples",N/A,N/A,N/A,N/A
CHRW,"C.H. Robinson Ww",82.54,"C.H. Robinson Ww",NASDAQ,"Transportation - Services",Transportation,N/A,N/A,N/A,N/A
CHTR,"Charter Communicatio",276.07,"Charter Communicatio",NASDAQ,"Cable TV","Consumer Discretionary",N/A,N/A,N/A,N/A
CI,"Cigna Corp",171.17,"Cigna Corp",NYSE,"Insurance - Multi Line",Finance,N/A,N/A,N/A,N/A
CINF,"Cincinnati Financial",70.01,"Cincinnati Financial",NASDAQ,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
CL,"Colgate-Palmolive Company",63.71,"Colgate-Palmolive Company",NYSE,"Soap and Cleaning Products","Consumer Staples",N/A,N/A,N/A,N/A
CLX,"Clorox Company",120.29,"Clorox Company",NYSE,"Soap and Cleaning Products","Consumer Staples",N/A,N/A,N/A,N/A
CMA,"Comerica Inc",94.08,"Comerica Inc",NYSE,"Banks - Major Regional",Finance,N/A,N/A,N/A,N/A
CMCSA,"Comcast Corp A",31.96,"Comcast Corp A",NASDAQ,"Cable TV","Consumer Discretionary",N/A,N/A,N/A,N/A
CME,"CME Group Inc",159.16,"CME Group Inc",NASDAQ,"Securities Exchanges",Finance,N/A,N/A,N/A,N/A
CMG,"Chipotle Mexican Grill",420.41,"Chipotle Mexican Grill",NYSE,"Retail - Restaurants",Retail-Wholesale,N/A,N/A,N/A,N/A
CMI,"Cummins Inc",144.55,"Cummins Inc",NYSE,"Engines - Internal Combustion",Auto-Tires-Trucks,N/A,N/A,N/A,N/A
CMS,"Cms Energy Corp",46.45,"Cms Energy Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
CNC,"Centene Corp",116.65,"Centene Corp",NYSE,"Medical - HMO",Medical,N/A,N/A,N/A,N/A
CNP,"Centerpoint Energy Inc",26.39,"Centerpoint Energy Inc",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
COF,"Capital One Financial Corp",89.06,"Capital One Financial Corp",NYSE,"Finance - Consumer Loans",Finance,N/A,N/A,N/A,N/A
