VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	86841281
Shares Outstanding: 359234000
Expense Ratio: 0.04%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VOO


Holding,Symbol,Weighting
Citizens Financial Group Inc,CFG,0.0889%
Centene Corp,CNC,0.0888%
PPL Corp,PPL,0.0888%
Microchip Technology Inc,MCHP,0.0884%
Willis Towers Watson PLC,WLTW,0.0873%
Andeavor,ANDV,0.0871%
Nucor Corp,NUE,0.0868%
Paychex Inc,PAYX,0.0865%
Ameriprise Financial Inc,AMP,0.0858%
Best Buy Co Inc,BBY,0.0854%
Mylan NV,MYL,0.0846%
Boston Properties Inc,BXP,0.084%
Eversource Energy,ES,0.084%
DTE Energy Co,DTE,0.0832%
Ventas Inc,VTR,0.0832%
Hartford Financial Services Group Inc,HIG,0.0831%
Royal Caribbean Cruises Ltd,RCL,0.0816%
Cerner Corp,CERN,0.0815%
NetApp Inc,NTAP,0.0803%
CenturyLink Inc,CTL,0.0802%
Global Payments Inc,GPN,0.0801%
SBA Communications Corp,SBAC,0.0799%
IHS Markit Ltd,INFO,0.079%
American Airlines Group Inc,AAL,0.079%
Motorola Solutions Inc,MSI,0.0784%
Align Technology Inc,ALGN,0.0784%
Harris Corp,HRS,0.0777%
Symantec Corp,SYMC,0.0772%
Laboratory Corporation of America Holdings,LH,0.0764%
CBS Corp,CBS,0.0754%
Omnicom Group Inc,OMC,0.0754%
Xilinx Inc,XLNX,0.0743%
Skyworks Solutions Inc,SWKS,0.0741%
IDEXX Laboratories Inc,IDXX,0.0735%
Comerica Inc,CMA,0.0733%
United Continental Holdings Inc,UAL,0.0731%
Autozone Inc,AZO,0.073%
Wynn Resorts Ltd,WYNN,0.0727%
E*TRADE Financial Corp,ETFC,0.0725%
Textron Inc,TXT,0.0723%
Noble Energy Inc,NBL,0.0722%
Ametek Inc,AME,0.072%
Huntington Bancshares Inc,HBAN,0.072%
Essex Property Trust Inc,ESS,0.0716%
KLA-Tencor Corp,KLAC,0.071%
SVB Financial Group,SIVB,0.0709%
MGM Resorts International,MGM,0.0708%
Twenty-First Century Fox Inc,FOX,0.0705%
Apache Corp,APA,0.07%
Seagate Technology PLC,STX,0.0697%
Verisk Analytics Inc,VRSK,0.0695%
Marathon Oil Corp,MRO,0.0693%
TransDigm Group Inc,TDG,0.0686%
Hess Corp,HES,0.0686%
American Water Works Company Inc,AWK,0.0685%
Vulcan Materials Co,VMC,0.0677%
Principal Financial Group Inc,PFG,0.0677%
FirstEnergy Corp,FE,0.0675%
Clorox Co,CLX,0.0672%
Baker Hughes A GE Co,BHGE,0.0672%
AmerisourceBergen Corp,ABC,0.0671%
WestRock Co,WRK,0.0669%
D.R. Horton Inc,DHI,0.0664%
Entergy Corp,ETR,0.0662%
Lincoln National Corp,LNC,0.0661%
Ulta Beauty Inc,ULTA,0.0658%
Waters Corp,WAT,0.0657%
W W Grainger Inc,GWW,0.0651%
Republic Services Inc,RSG,0.065%
Cintas Corp,CTAS,0.065%
Mettler-Toledo International Inc,MTD,0.065%
National Oilwell Varco Inc,NOV,0.0648%
TechnipFMC PLC,FTI,0.0647%
Eastman Chemical Co,EMN,0.0645%
Lennar Corp,LEN,0.0643%
Conagra Brands Inc,CAG,0.0642%
L3 Technologies Inc,LLL,0.064%
Realty Income Corp,O,0.0639%
Host Hotels & Resorts Inc,HST,0.0637%
XL Group Ltd,XL,0.0635%
Ameren Corp,AEE,0.0628%
Kellogg Co,K,0.0628%
Fastenal Co,FAST,0.0626%
Expedia Group Inc,EXPE,0.0625%
IQVIA Holdings Inc,IQV,0.0625%
Dover Corp,DOV,0.0624%
Brown-Forman Corp,BF.B,0.0622%
CBRE Group Inc,CBRE,0.062%
Loews Corp,L,0.0617%
ANSYS Inc,ANSS,0.0611%
Nektar Therapeutics,NKTR,0.0607%
Total System Services Inc,TSS,0.0606%
Citrix Systems Inc,CTXS,0.0605%
Quest Diagnostics Inc,DGX,0.0604%
Resmed Inc,RMD,0.0602%
Ball Corp,BLL,0.0599%
MSCI Inc,MSCI,0.0597%
Mohawk Industries Inc,MHK,0.0597%
Equifax Inc,EFX,0.0597%
Tapestry Inc,TPR,0.0591%
CMS Energy Corp,CMS,0.0589%
J M Smucker Co,SJM,0.0584%
Newell Brands Inc,NWL,0.0582%
Alexandria Real Estate Equities Inc,ARE,0.057%
Synopsys Inc,SNPS,0.0569%
United Rentals Inc,URI,0.0568%
Genuine Parts Co,GPC,0.0567%
Hershey Co,HSY,0.0563%
Arthur J Gallagher & Co,AJG,0.0557%
McCormick & Company Inc,MKC,0.0555%
Martin Marietta Materials Inc,MLM,0.0554%
GGP Inc,GGP,0.055%
Xylem Inc,XYL,0.0547%
Akamai Technologies Inc,AKAM,0.0545%
EQT Corp,EQT,0.0544%
Vornado Realty Trust,VNO,0.0539%
Take-Two Interactive Software Inc,TTWO,0.0538%
Cboe Global Markets Inc,CBOE,0.053%
PVH Corp,PVH,0.0529%
Masco Corp,MAS,0.0524%
C.H. Robinson Worldwide Inc,CHRW,0.0521%
Henry Schein Inc,HSIC,0.052%
Dentsply Sirona Inc,XRAY,0.0519%
Carmax Inc,KMX,0.0515%
Raymond James Financial Inc,RJF,0.0513%
Invesco Ltd,IVZ,0.0512%
Extra Space Storage Inc,EXR,0.0504%
Cadence Design Systems Inc,CDNS,0.0503%
Darden Restaurants Inc,DRI,0.0502%
Molson Coors Brewing Co,TAP,0.0502%
Church & Dwight Co Inc,CHD,0.0501%
Expeditors International of Washington Inc,EXPD,0.05%
Kansas City Southern,KSU,0.0494%
HCP Inc,HCP,0.0489%
Cabot Oil & Gas Corp,COG,0.0489%
CenterPoint Energy Inc,CNP,0.0489%
Chipotle Mexican Grill Inc,CMG,0.0488%
Cooper Companies Inc,COO,0.0488%
International Flavors & Fragrances Inc,IFF,0.0487%
Albemarle Corp,ALB,0.0486%
Whirlpool Corp,WHR,0.0485%
Wyndham Worldwide Corp,WYN,0.0485%
Hologic Inc,HOLX,0.0485%
Zions Bancorp,ZION,0.0484%
Varian Medical Systems Inc,VAR,0.0481%
FMC Corp,FMC,0.0479%
Gartner Inc,IT,0.0479%
Incyte Corp,INCY,0.0475%
Franklin Resources Inc,BEN,0.0474%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0474%
Mid-America Apartment Communities Inc,MAA,0.0472%
CA Inc,CA,0.0472%
Kohls Corp,KSS,0.0469%
F5 Networks Inc,FFIV,0.0466%
Viacom Inc,VIAB,0.0466%
Packaging Corp of America,PKG,0.0464%
Cincinnati Financial Corp,CINF,0.0461%
Huntington Ingalls Industries Inc,HII,0.046%
Tiffany & Co,TIF,0.0454%
Nasdaq Inc,NDAQ,0.0451%
Nielsen Holdings PLC,NLSN,0.045%
Universal Health Services Inc,UHS,0.0448%
Michael Kors Holdings Ltd,KORS,0.0444%
J B Hunt Transport Services Inc,JBHT,0.0443%
Perrigo Company PLC,PRGO,0.0442%
Alliant Energy Corp,LNT,0.044%
Duke Realty Corp,DRE,0.044%
Hasbro Inc,HAS,0.043%
Verisign Inc,VRSN,0.043%
UDR Inc,UDR,0.043%
Alliance Data Systems Corp,ADS,0.0429%
Iron Mountain Inc,IRM,0.0428%
Hormel Foods Corp,HRL,0.0427%
BorgWarner Inc,BWA,0.0425%
Macy's Inc,M,0.0425%
Cimarex Energy Co,XEC,0.0424%
Mosaic Co,MOS,0.0422%
Qorvo Inc,QRVO,0.0418%
LKQ Corp,LKQ,0.0416%
Everest Re Group Ltd,RE,0.0415%
Avery Dennison Corp,AVY,0.0414%
NRG Energy Inc,NRG,0.0409%
