VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	35729218
Shares Outstanding: 348952000
Expense Ratio: 0.05%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Franklin Resources Inc,BEN,0.0877%
Molson Coors Brewing Co,TAP,0.0877%
Qurate Retail Inc,QRTEA,0.0875%
Stanley Black & Decker Inc,SWK,0.0873%
Kohls Corp,KSS,0.0862%
CA Inc,CA,0.0862%
Welltower Inc,WELL,0.0839%
Hilton Worldwide Holdings Inc,HLT,0.0838%
Arch Capital Group Ltd,ACGL,0.0833%
BorgWarner Inc,BWA,0.0833%
Bunge Ltd,BG,0.083%
Nasdaq Inc,NDAQ,0.0824%
Duke Realty Corp,DRE,0.0812%
Perrigo Company PLC,PRGO,0.0805%
Alliant Energy Corp,LNT,0.0804%
Everest Re Group Ltd,RE,0.0802%
Macy's Inc,M,0.0784%
Fidelity National Financial Inc,FNF,0.0784%
Hasbro Inc,HAS,0.0778%
Lamb Weston Holdings Inc,LW,0.0777%
Mosaic Co,MOS,0.0774%
Voya Financial Inc,VOYA,0.0772%
Reinsurance Group of America Inc,RGA,0.077%
Michael Kors Holdings Ltd,KORS,0.0767%
Torchmark Corp,TMK,0.0763%
Juniper Networks Inc,JNPR,0.0759%
Ventas Inc,VTR,0.0757%
Affiliated Managers Group Inc,AMG,0.0755%
Aramark,ARMK,0.0737%
Avery Dennison Corp,AVY,0.0732%
Interpublic Group of Companies Inc,IPG,0.0726%
Western Union Co,WU,0.0722%
DaVita Inc,DVA,0.0718%
Unum Group,UNM,0.0715%
Pinnacle West Capital Corp,PNW,0.0714%
NiSource Inc,NI,0.0704%
First Data Corp,FDC,0.0679%
Advance Auto Parts Inc,AAP,0.0679%
Jacobs Engineering Group Inc,JEC,0.0677%
L Brands Inc,LB,0.0671%
Alleghany Corp,Y,0.0671%
Marvell Technology Group Ltd,MRVL,0.0667%
Fluor Corp,FLR,0.0665%
Comerica Inc,CMA,0.0663%
AES Corp,AES,0.0657%
Macerich Co,MAC,0.0652%
CBS Corp,CBS,0.0651%
Gap Inc,GPS,0.0648%
PulteGroup Inc,PHM,0.0645%
News Corp,NWSA,0.0644%
Campbell Soup Co,CPB,0.064%
Clorox Co,CLX,0.0634%
D.R. Horton Inc,DHI,0.063%
Athene Holding Ltd,ATH,0.0625%
Arconic Inc,ARNC,0.0618%
Liberty Broadband Corp,LBRDK,0.0607%
Lennar Corp,LEN,0.0603%
Pentair PLC,PNR,0.0603%
AGNC Investment Corp,AGNC,0.06%
Leucadia National Corp,LUK,0.0598%
DISH Network Corp,DISH,0.0586%
Xerox Corp,XRX,0.0585%
Lazard Ltd,LAZ,0.0562%
Liberty Media Corp,LSXMK,0.056%
Harley-Davidson Inc,HOG,0.055%
W. R. Berkley Corp,WRB,0.0549%
OGE Energy Corp,OGE,0.0543%
Tapestry Inc,TPR,0.0543%
VEREIT Inc,VER,0.0543%
Newell Brands Inc,NWL,0.0535%
CIT Group Inc,CIT,0.0533%
Garmin Ltd,GRMN,0.0532%
Discovery Inc,DISCK,0.0531%
Arrow Electronics Inc,ARW,0.053%
ManpowerGroup Inc,MAN,0.0527%
United Rentals Inc,URI,0.0525%
Crown Holdings Inc,CCK,0.0519%
People's United Financial Inc,PBCT,0.0514%
HanesBrands Inc,HBI,0.0506%
Ralph Lauren Corp,RL,0.05%
Raymond James Financial Inc,RJF,0.0484%
Kimco Realty Corp,KIM,0.0479%
HollyFrontier Corp,HFC,0.0479%
Reliance Steel & Aluminum Co,RS,0.0477%
Tiffany & Co,TIF,0.0477%
Dentsply Sirona Inc,XRAY,0.0474%
Nordstrom Inc,JWN,0.0471%
Carmax Inc,KMX,0.0471%
New York Community Bancorp Inc,NYCB,0.0452%
Allison Transmission Holdings Inc,ALSN,0.0439%
SCANA Corp,SCG,0.0431%
Universal Health Services Inc,UHS,0.0414%
Advanced Micro Devices Inc,AMD,0.0411%
Alcoa Corp,AA,0.0394%
Hormel Foods Corp,HRL,0.0387%
Brighthouse Financial Inc,BHF,0.0377%
Ingredion Inc,INGR,0.037%
CF Industries Holdings Inc,CF,0.0366%
Westlake Chemical Corp,WLK,0.0337%
Camden Property Trust,CPT,0.0336%
Jones Lang LaSalle Inc,JLL,0.0334%
Alaska Air Group Inc,ALK,0.0322%
Sealed Air Corp,SEE,0.0307%
Owens Corning,OC,0.0306%
Discovery Inc,DISCA,0.0304%
Helmerich and Payne Inc,HP,0.0296%
Liberty Media Corp,LSXMA,0.0289%
Avangrid Inc,AGR,0.0271%
Sprint Corp,S,0.0254%
Goodyear Tire & Rubber Co,GT,0.0247%
Flowserve Corp,FLS,0.0247%
Stericycle Inc,SRCL,0.0209%
Mattel Inc,MAT,0.0201%
Brixmor Property Group Inc,BRX,0.0183%
nVent Electric PLC,NVT,0.0151%
Liberty Broadband Corp,LBRDA,0.0136%
Altice USA Inc,ATUS,0.0087%
Pilgrims Pride Corp,PPC,0.0084%
ADT Inc,ADT,0.0082%
Cash Component,CASH,0.0076%
Dropbox Inc,DBX,0.0048%
CBS Corp,CBS.A,0.0019%
