VGK: Vanguard FTSE Europe ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18822011
Shares Outstanding: 318047000
Expense Ratio: 0.1%
Tracks This Index: FTSE Developed Europe Index
ETFdb.com Category: Europe Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGK


Holding,Symbol,Weighting
Getlink,GET,0.0598%
Evonik Industries AG,EVK,0.0598%
Swiss Prime Site AG,SPSN,0.0597%
Volkswagen AG,VOW,0.0597%
Halma PLC,HLMA,0.0597%
Atlas Copco AB,ATCO.B,0.0596%
Faurecia SA,EO,0.0594%
Aeroports de Paris SA,ADP,0.0593%
Marks and Spencer Group PLC,MKS,0.0591%
Elisa Oyj,ELISA,0.0591%
Uniper SE,UN01,0.0585%
Just Eat PLC,JE.,0.0583%
voestalpine AG,VOE,0.0579%
Hugo Boss AG,BOSS,0.0567%
Rubis SCA,RUI,0.0563%
Orpea SA,ORP,0.0558%
Trelleborg AB,TREL.B,0.0555%
Osram Licht AG,OSR,0.0555%
Scout24 AG,G24,0.0554%
Hammerson PLC,HMSO,0.0554%
Eurofins Scientific SE,ERF,0.055%
Kion Group AG,KGX,0.055%
Antofagasta PLC,ANTO,0.0548%
Logitech International SA,LOGN,0.0545%
Spirax-Sarco Engineering PLC,SPX,0.0544%
Electrolux AB,ELUX.B,0.0542%
Ipsen SA,IPN,0.0541%
K&S AG,SDF,0.054%
Rheinmetall AG,RHM,0.0539%
Banco Bpm SpA,BAMI,0.0537%
Hiscox Ltd,HSX,0.0532%
LANXESS AG,LXS,0.0529%
SES SA,SESG,0.0528%
Rightmove PLC,RMV,0.0524%
G4S PLC,GFS,0.0523%
Innogy SE,IGY,0.052%
Bellway PLC,BWY,0.0519%
Altice NV,ATC,0.0515%
Bankia SA,BKIA,0.0513%
SEB SA,SK,0.0512%
Admiral Group PLC,ADM,0.051%
Zalando SE,ZAL,0.0505%
Nokian Tyres plc,NRE1V,0.0505%
Securitas AB,SECU.B,0.0502%
Suez SA,SEV,0.0496%
Hochtief AG,HOT,0.0494%
GN Store Nord A/S,GN,0.0493%
UBM PLC,UBM,0.0493%
John Wood Group PLC,WG.,0.049%
Delivery Hero AG,DHER,0.0489%
Sartorius AG,SRT3,0.0487%
Lundin Petroleum AB,LUPE,0.0478%
Investec PLC,INVP,0.0477%
Schroders PLC,SDR,0.0476%
William Demant Holding A/S,WDH,0.0475%
Euronext NV,ENX,0.0474%
Meggitt PLC,MGGT,0.0471%
Rexel SA,RXL,0.047%
The Swatch Group AG,UHRN,0.0468%
Ingenico Group SA,ING,0.0468%
Iliad SA,ILD,0.0463%
Gemalto NV,GTO,0.0463%
easyJet plc,EZJ,0.0458%
Aalberts Industries NV,AALB,0.0455%
Dufry AG,DUFN,0.0453%
Merlin Properties SOCIMI SA,MRL,0.0452%
FinecoBank Banca Fineco SpA,FBK,0.0449%
Elis SA,ELIS,0.0438%
Bayerische Motoren Werke AG,BMW3,0.0437%
Clariant AG,CLN,0.0433%
Leonardo SpA,LDO,0.0432%
Wendel SE,MF,0.0431%
Auto Trader Group PLC,AUTO,0.0429%
Raiffeisen Bank International AG,RBI,0.0429%
Tele2 AB,TEL2.B,0.0425%
Georg Fischer AG,FI-N,0.0423%
BBA Aviation PLC,BBA,0.0421%
Poste Italiane SpA,PST,0.0419%
Ems Chemie Holding AG,EMSN,0.0417%
B&M European Value Retail SA,BME,0.0415%
Indivior PLC,INDV,0.0415%
freenet AG,FNTN,0.0414%
Fonciere des Regions SA,FDR,0.041%
Castellum AB,CAST,0.0409%
Spectris PLC,SXS,0.0409%
Tullow Oil PLC,TLW,0.0408%
RPC Group PLC,RPC,0.0406%
