VTI: Vanguard Total Stock Market ETF
Inception Date: 2001-05-31
Fund Holdings as of: 2018-04-30
Total Assets Under Management (in thousands):	93500462
Shares Outstanding: 684634000
Expense Ratio: 0.04%
Tracks This Index: CRSP US Total Market Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTI


Holding,Symbol,Weighting
First Data Corp,FDC,0.0336%
Jazz Pharmaceuticals PLC,JAZZ,0.0335%
PerkinElmer Inc,PKI,0.0334%
Fluor Corp,FLR,0.0333%
Jacobs Engineering Group Inc,JEC,0.0333%
STERIS plc,STE,0.0333%
American Financial Group Inc,AFG,0.0332%
CDK Global Inc,CDK,0.033%
Macerich Co,MAC,0.033%
UGI Corp,UGI,0.033%
Tractor Supply Co,TSCO,0.0329%
Ingredion Inc,INGR,0.0329%
Marvell Technology Group Ltd,MRVL,0.0328%
Alnylam Pharmaceuticals Inc,ALNY,0.0326%
Fortune Brands Home & Security Inc,FBHS,0.0325%
Tyler Technologies Inc,TYL,0.0321%
Snap-On Inc,SNA,0.032%
Sensata Technologies Holding PLC,ST,0.032%
GoDaddy Inc,GDDY,0.0318%
Fortinet Inc,FTNT,0.0317%
L Brands Inc,LB,0.0315%
Arconic Inc,ARNC,0.0315%
Coty Inc,COTY,0.0315%
Alaska Air Group Inc,ALK,0.0315%
Federal Realty Investment Trust,FRT,0.0315%
Zayo Group Holdings Inc,ZAYO,0.0312%
AES Corp,AES,0.0312%
Lennox International Inc,LII,0.0312%
Jones Lang LaSalle Inc,JLL,0.0311%
FLIR Systems Inc,FLIR,0.0311%
Orbital ATK Inc,OA,0.0311%
NiSource Inc,NI,0.0308%
Vistra Energy Corp,VST,0.0307%
Graco Inc,GGG,0.0307%
Sealed Air Corp,SEE,0.0306%
Athene Holding Ltd,ATH,0.0306%
Campbell Soup Co,CPB,0.0305%
Gap Inc,GPS,0.0305%
Veeva Systems Inc,VEEV,0.0304%
US Foods Holding Corp,USFD,0.0304%
Neurocrine Biosciences Inc,NBIX,0.0304%
Advance Auto Parts Inc,AAP,0.0302%
Liberty Broadband Corp,LBRDK,0.0302%
Xerox Corp,XRX,0.0302%
PulteGroup Inc,PHM,0.0301%
Camden Property Trust,CPT,0.0301%
Pinnacle Foods Inc,PF,0.0297%
IPG Photonics Corp,IPGP,0.0297%
Leucadia National Corp,LUK,0.0297%
Middleby Corp,MIDD,0.0296%
Allegion PLC,ALLE,0.0295%
CommScope Holding Company Inc,COMM,0.0295%
Liberty Media Corp,LSXMK,0.0294%
Owens Corning,OC,0.0293%
Cognex Corp,CGNX,0.0292%
Marketaxess Holdings Inc,MKTX,0.0292%
Helmerich and Payne Inc,HP,0.0291%
Great Plains Energy Inc,GXP,0.0291%
W. R. Berkley Corp,WRB,0.029%
Westar Energy Inc,WR,0.029%
Parsley Energy Inc,PE,0.0289%
AGNC Investment Corp,AGNC,0.0288%
Westinghouse Air Brake Technologies Corp,WAB,0.0287%
HD Supply Holdings Inc,HDS,0.0287%
Zebra Technologies Corp,ZBRA,0.0287%
