Symbol	Description
5VJ	Halcyon Agri Corporation Ltd
5VOW	Viking Offshore And Ma W180425
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5VU	Arion Entertainment Singapore Limited
5VZW	Asia-pacific Strategic W180716
5WA	Intl Healthway Corp Limited
5WD	Ps Group Holdings Ltd.
5WE	Moya Holdings Asia Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WV	Asiaphos Limited
600	Hyflux Ltd
6SUS	Ny05100n 200901
7PMS	Ny07100x 220901
7QQS	Nz07100s 270301
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A0W	Lyxor Commodities Crb Fund 10
A13	Allied Technologies Limited
A17U	Ascendas Real Estate Inv Trust
A26	Sinarmas Land Limited
A27	Mdr Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A55	Asia Enterprises Holding Ltd
A68U	Ascott Residence Trust
A75	Ace Achieve Infocom Limited
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
A7S	Sunvic Chemical Holdings Ltd
A9A	Lyxor Msci Taiwan Index Fund10
A9B	Lyxor Hang Seng Index Fund 10
AAJ	Sunmoon Food Company Limited
ACV	Frasers Hospitality Trust
ACW	Chiwayland International Ltd
AD7	China Bearing (singapore) Ltd.
AD8	Sino Techfibre Limited
ADJ	Ols Enterprise Ltd.
ADN	First Sponsor Group Limited
ADP	Swissco Holdings Limited
ADQU	Accordia Golf Trust
AFC	Yuuzoo Corporation
AFUS	Nx15100z 250601
AFVS	N515100s 200701
AGS	The Hour Glass Limited
AIY	Ifast Corporation Ltd.
AJ2	Ouhua Energy Holdings Limited
AJBU	Keppel Dc Reit
AJHW	Shs Holdings W191216
AO9	Lyxor Korea 10
AOF	Amplefield Limited
AP4	Riverstone Holdings Limited
AU8U	Capitaretail China Trust
AUE	United Fiber System Limited
AVM	Boustead Projects Limited
AVV	Cei Contract Manufacturing Ltd
AVX	Hl Global Enterprises Limited
AW9U	First Real Estate Inv Trust
AWC	Lindeteves-jacoberg Ltd
AWE	Sp Corporation Limited
AWG	Aei Corporation Ltd
AWI	Thakral Corporation Ltd
AWK	Fuxing China Group Limited
AWM	Shanghai Turbo Enterprises Ltd
AWO	Mirach Energy Limited
AWS	Global Yellow Pages Limited
AWUW	Global Yellow Pages W190625
AWV	Captii Limited
AWX	Aem Holdings Ltd
AWZ	Multi-chem Limited
AXB	Yongnam Holdings Limited
AXL	China Fibretech Ltd.
AXXZ	Fcl Trea S$500m3.65%b220522
AYB	Lafe Corporation Limited
AYD	Plastoform Holdings Limited
AYL	Star Pharmaceutical Limited
AYN	Global Testing Corporation Ltd
AYV	Acma Ltd.
AZA	Ipc Corporation Limited
AZG	8telecom Intl Holdings Co Ltd
AZI	Ausnet Services Ltd
AZR	United Food Holdings Limited
AZT	Lottvision Limited
AZW	China Taisan Tech Grp Hldgsltd
AZY	Pan Ocean Co., Ltd.
AZZ	China Gaoxian Fibrefab Hldgltd
B07	Next-gen Satellite Comm Ltd
B0I	Foreland Fabrictech Hlds Ltd
B0Z	China Fishery Group Limited
B10	Boardroom Limited
B16	Guocoleisure Limited
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B2F	M1 Limited
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
