IDENT,NAME,MGR,INFOS,SICOVAM,TYPE,LIMITE_PERTE,ENTITE,MARKET,QUOTATION,HEDGEFUND,CURRENCY,BUSINESS_LINE_ID,MARKED_AS_CLOSED
5371,ranli - Outright - High Yield,6501,,67425467,4,0,10000579,,,,0,,0
5372,ranli - Hedge,5370,,67425467,4,0,10000579,,,,0,,0
5373,B Singapore,4410,,67425467,4,0,10000579,,,,0,,0
5410,sguy HSCEI expired positions,4682,,67425466,4,0,10000579,,,,55923524,,0
5411,BASIS,5100,,67425467,4,0,0,,,,0,,0
5430,dehow - Equity,4823,,67425467,4,0,10000579,,,,0,,0
5432,dehow - Hedge - Interest Rate Risk,4827,,67425467,4,0,10000579,,,,0,,0
5433,dehow - Hedge - Market Risk,4827,,67425467,4,0,10000579,,,,0,,0
5434,dehow - Hedge - Currency Risk,4827,,67425467,4,0,10000579,,,,0,,0
5435,aseiz - Hedge - Interest Rate Risk,5094,,67425467,4,0,10000579,,,,0,,0
5436,aseiz - Hedge - Market Risk,5094,,67425467,4,0,10000579,,,,0,,0
5437,aseiz - Hedge - Currency Risk,5094,,67425467,4,0,10000579,,,,0,,0
5438,sguy HSCEI open positions,4682,,67425466,4,0,10000579,,,,55923524,,0
5452,sguy KOSPI2 - 20100311 - mar10,5310,,67425490,4,0,10000579,,,,55923524,,0
5472,sguy KOSPI2 - 20091008 - oct09,5310,,67425490,4,0,10000579,,,,55923524,,0
5492,B Europe,4410,,67425467,4,0,10000579,,,,0,,0
5512,Asset Swap,5165,,67425467,4,0,0,,,,0,,0
5532,payerj HSI vanilla,4668,,67425465,4,0,10000579,,,,55923524,,0
5552,payerj HSCEI vanilla,4669,,67425466,4,0,0,,,,55923524,,0
5572,bretx,11976,,67425466,4,0,10000579,,,,55923524,,0
5573,bretx HSCEI,5572,,67425466,4,0,10000579,,,,55923524,,0
5574,bretx HSI,5572,,67425465,4,0,10000579,,,,55923524,,0
5575,bretx KOSPI2,5572,,67425490,4,0,10000579,,,,55923524,,0
5576,bretx NKY,5572,,67425464,4,0,10000579,,,,55923524,,0
5577,bretx HSCEI book,5573,,67425466,4,0,10000579,,,,55923524,,0
5578,bretx HSCEI day trades,5573,,67425466,4,0,10000579,,,,55923524,,0
5579,bretx HSI book,5574,,67425465,4,0,10000579,,,,55923524,,0
5580,bretx HSI day trades,5574,,67425465,4,0,10000579,,,,55923524,,0
5581,bretx KOSPI2 book,5575,,67425490,4,0,10000579,,,,55923524,,0
5582,bretx KOSPI2 day trades,5575,,67425490,4,0,10000579,,,,55923524,,0
5583,bretx NKY book,5576,,67425464,4,0,10000579,,,,55923524,,0
5584,bretx NKY day trades,5576,,67425464,4,0,10000579,,,,55923524,,0
5586,bretx TWSE,5572,,67425470,4,0,10000579,,,,55923524,,0
5587,bretx TWSE book,5586,,67425470,4,0,10000579,,,,55923524,,0
5592,2009-12-30,6773,,67425466,4,0,10000579,,,,55923524,,0
5593,bretx HSCEI Index Puts,5573,,67425466,4,0,10000579,,,,55923524,,0
5594,2009-09-29,6773,,67425466,4,0,10000579,,,,55923524,,0
5595,z-daily trades,4414,,67425467,0,0,10000579,,,,0,,0
5596,aseiz [z-daily trades],5595,,67425467,0,0,10000579,,,,0,,0
5597,dehow [z-daily trades],5595,,67425467,0,0,10000579,,,,0,,0
5598,ranli [z-daily trades],5595,,67425467,0,0,10000579,,,,0,,0
5612,2010-03-30,6773,,67425466,4,0,10000579,,,,55923524,,0
5632,z-allan's pnl,4411,,67425467,4,0,10000579,,,,0,,0
5633,Commodity,5632,,67425467,4,0,10000579,,,,0,,0
5634,Credit,5632,,67425467,4,0,10000579,,,,0,,0
5635,Equity,5632,,67425467,4,0,10000579,,,,0,,0
5636,FI,5632,,67425467,4,0,10000579,,,,0,,0
5637,FX,5632,,67425467,4,0,10000579,,,,0,,0
5638,bretx HSI Index Calls,5574,,67425465,4,0,10000579,,,,55923524,,0
5639,bretx HSCEI Index Calls,5573,,67425466,4,0,10000579,,,,55923524,,0
5652,sguy KOSPI2 - 20091112 - nov09,5310,,67425490,4,0,10000579,,,,55923524,,0
5672,2010-03-17,6917,,67425470,4,0,10000579,,,,55923524,,0
5673,2009-10-21,6917,,67425470,4,0,10000579,,,,55923524,,0
5674,2009-11-18,6917,,67425470,4,0,10000579,,,,55923524,,0
5692,2009-10-29,6773,,67425466,4,0,10000579,,,,55923524,,0
5693,B India,4410,,67425467,4,0,10000579,,,,0,,0
5694,ranli - Outright - Shorts,6501,,67425467,4,0,10000579,,,,0,,0
5712,2009-11-27,6773,,67425466,4,0,10000579,,,,55923524,,0
5732,bretx TWSE Index Calls,5586,,67425470,4,0,10000579,,,,55923524,,0
5733,TBA BASIS,5411,,67425467,0,0,0,,,,0,,0
5752,BCB Korea,11815,,67425467,4,0,10000579,,,,0,,0
5753,DEC-09,4674,,67425466,4,0,10000579,,,,55923524,,0
5754,JUNE-11,4674,,67425466,4,0,10000579,,,,55923524,,0
5755,DEC-11,5552,,67425466,4,0,10000579,,,,55923524,,0
5756,SEP-11,5552,,67425466,4,0,10000579,,,,55923524,,0
5772,JPY Swaption,4785,,67425467,0,0,0,,,,0,,0
5812,aseiz - Restructure,5091,,67425467,4,0,10000579,,,,0,,0
5813,aseiz - Restructure - Bank Capital,5812,,67425467,4,0,10000579,,,,0,,0
5814,aseiz - Restructure - Corporate,5812,,67425467,4,0,10000579,,,,0,,0
5815,dehow - Restructure,4823,,67425467,4,0,10000579,,,,0,,0
5816,dehow - Restructure - Bank Capital,5815,,67425467,4,0,10000579,,,,0,,0
5817,dehow - Restructure - Corporate,5815,,67425467,4,0,10000579,,,,0,,0
